gene_name	regulator	sign
albC	abrB	-1
xynB	sigA	1
xynB	xylR	-1
xynB	ccpA	-1
comGC	sigA	1
comGC	comK	1
comGC	comZ	-1
yppF	codY	0
yxeK	sigA	1
yxeK	cymR	-1
yxeK	spx	-1
yitH	S-box-SAM	-1
glsA	sigA	1
glsA	glnL	1
glsA	ccpA	0
ycbG	ycbG	-1
ispF	sigM	1
ispF	sigB	1
sunA	yvrHb	1
sunA	rok	-1
sunA	abrB	-1
sunA	abh	1
purE	sigA	1
purE	purR	-1
purE	G-box-HXTX	1
purE	G-box-GUA	1
gbsA	gbsR	-1
ydfJ	sigA	1
ydfJ	ydfI	1
mntC	mntR	-1
ycnI	ycnK	-1
dltB	sigX	1
dltB	sigM	1
dltB	sigD	1
dltB	yvrHb	1
dltB	stringent response	-1
dltB	spo0A	-1
yorB	lexA	-1
trxB	spx	1
yydI	sigA	1
yydI	rok	-1
yydI	abrB	-1
yozF	sigG	1
metC	sigA	1
metC	S-box-SAM	-1
metC	codY	0
gntR	sigA	1
gntR	sigK	1
gntR	gntR	-1
gntR	ccpA	-1
gntR	abrB	1
gntR	ccpB	-1
flgB	sigD	1
flgB	sigA	1
flgB	spo0A	-1
flgB	codY	-1
sbp	sigM	1
sbp	sigE	1
sbp	sigA	1
sbp	spoIIID	-1
sbp	gerR	-1
yoaH	sigD	1
ysfB	sigG	1
ywdL	sigE	1
yycC	tnrA	-1
yckC	sigE	1
ssbB	comK	1
mtlR	ccpA	-1
mtlR	mtlR	0
ptb	sigL	1
ptb	codY	-1
ptb	bkdR	1
ptb	tnrA	-1
yfnD	sigK	1
yfnD	sigE	1
yfnD	gerR	-1
levR	sigL	1
levR	levR	1
levR	ccpA	-1
ylmC	sigE	1
ylmC	spoIIID	-1
sspM	sigG	1
fliM	sigD	1
fliM	sigA	1
fliM	spo0A	-1
fliM	codY	-1
srfAC	sigA	1
srfAC	spx	-1
srfAC	perR	1
srfAC	comA	1
srfAC	codY	-1
srfAC	abh	-1
rbsB	sigA	1
rbsB	ccpA	-1
rbsB	abrB	1
rbsB	rbsR	0
yraE	sigG	1
yqxJ	spo0A	1
yqxJ	abrB	-1
yvrB	RNA - Cobalamin	0
qcrB	resD	1
qcrB	abrB	-1
qcrB	ccpA	-1
tlpA	sigD	1
tlpA	abrB	-1
xsa	sigA	1
xsa	ccpA	-1
xsa	araR	-1
yveF	padR	-1
