SampleID,ConditionID,experimentID,condition_coarse,condition,annotation,type,medium,experiment,laboratory
LPh_1,LPh,13,low phosphate,low phosphate,exponential growth in low phosphate-defined medium (E13_2),treatment,low phosphate-defined medium,13: high/low/limited phosphate-defined medium,Dublin
LPh_2,LPh,13,low phosphate,low phosphate,exponential growth in low phosphate-defined medium (E13_2),treatment,low phosphate-defined medium,13: high/low/limited phosphate-defined medium,Dublin
LPh_3,LPh,13,low phosphate,low phosphate,exponential growth in low phosphate-defined medium (E13_2),treatment,low phosphate-defined medium,13: high/low/limited phosphate-defined medium,Dublin
LPhT_1,LPhT,13,stationary phase,stationary phase,3h after phosphate-limitation induced stationary phase  (E13_3),treatment,phosphate-limitation medium,13: high/low/limited phosphate-defined medium,Dublin
LPhT_2,LPhT,13,stationary phase,stationary phase,3h after phosphate-limitation induced stationary phase  (E13_3),treatment,phosphate-limitation medium,13: high/low/limited phosphate-defined medium,Dublin
LPhT_3,LPhT,13,stationary phase,stationary phase,3h after phosphate-limitation induced stationary phase  (E13_3),treatment,phosphate-limitation medium,13: high/low/limited phosphate-defined medium,Dublin
HiTm_1,HiTm,14,high temperature,high temperature,growing at 51 degree in SMM (E14_2),treatment,SMM,14: changing temperature or adding NaCl,Greifswald
HiTm_2,HiTm,14,high temperature,high temperature,growing at 51 degree in SMM (E14_2),treatment,SMM,14: changing temperature or adding NaCl,Greifswald
HiTm_3,HiTm,14,high temperature,high temperature,growing at 51 degree in SMM (E14_2),treatment,SMM,14: changing temperature or adding NaCl,Greifswald
LoTm_1,LoTm,14,low temperature,low temperature,growing at 18 degree in SMM (E14_3),treatment,SMM,14: changing temperature or adding NaCl,Greifswald
LoTm_2,LoTm,14,low temperature,low temperature,growing at 18 degree in SMM (E14_3),treatment,SMM,14: changing temperature or adding NaCl,Greifswald
LoTm_3,LoTm,14,low temperature,low temperature,growing at 18 degree in SMM (E14_3),treatment,SMM,14: changing temperature or adding NaCl,Greifswald
HiOs_1,HiOs,14,salinity,salinity,growing in SMM added with NaCl (E14_4),treatment,SMM,14: changing temperature or adding NaCl,Greifswald
HiOs_2,HiOs,14,salinity,salinity,growing in SMM added with NaCl (E14_4),treatment,SMM,14: changing temperature or adding NaCl,Greifswald
HiOs_3,HiOs,14,salinity,salinity,growing in SMM added with NaCl (E14_4),treatment,SMM,14: changing temperature or adding NaCl,Greifswald
Heat_1,Heat,15,high temperature,high temperature,growing at 48 degree in BMM (E15_2),treatment,BMM,15: changing temperature or adding ethanol,Greifswald
Heat_2,Heat,15,high temperature,high temperature,growing at 48 degree in BMM (E15_2),treatment,BMM,15: changing temperature or adding ethanol,Greifswald
Heat_3,Heat,15,high temperature,high temperature,growing at 48 degree in BMM (E15_2),treatment,BMM,15: changing temperature or adding ethanol,Greifswald
Cold_1,Cold,15,low temperature,low temperature,growing at 16 degree in BMM (E15_3),treatment,BMM,15: changing temperature or adding ethanol,Greifswald
Cold_2,Cold,15,low temperature,low temperature,growing at 16 degree in BMM (E15_3),treatment,BMM,15: changing temperature or adding ethanol,Greifswald
Cold_3,Cold,15,low temperature,low temperature,growing at 16 degree in BMM (E15_3),treatment,BMM,15: changing temperature or adding ethanol,Greifswald
Etha_1,Etha,15,ethanol,ethanol,growing in BMM added with ethanol (E15_4),treatment,BMM,15: changing temperature or adding ethanol,Greifswald
Etha_2,Etha,15,ethanol,ethanol,growing in BMM added with ethanol (E15_4),treatment,BMM,15: changing temperature or adding ethanol,Greifswald
Etha_3,Etha,15,ethanol,ethanol,growing in BMM added with ethanol (E15_4),treatment,BMM,15: changing temperature or adding ethanol,Greifswald
Salt_1,Salt,16,salinity,salinity,growing in SMM after adding NaCl (E16_2),treatment,SMM,16: with/without NaCl,Greifswald
Salt_2,Salt,16,salinity,salinity,growing in SMM after adding NaCl (E16_2),treatment,SMM,16: with/without NaCl,Greifswald
Salt_3,Salt,16,salinity,salinity,growing in SMM after adding NaCl (E16_2),treatment,SMM,16: with/without NaCl,Greifswald
M40t45_1,M40t45,17,with mitomycin,with mitomycin,45 min with mitomycin (E17_4),treatment,LB,17: with/without mitomycin,Jouy
M40t45_2,M40t45,17,with mitomycin,with mitomycin,45 min with mitomycin (E17_4),treatment,LB,17: with/without mitomycin,Jouy
M40t45_3,M40t45,17,with mitomycin,with mitomycin,45 min with mitomycin (E17_4),treatment,LB,17: with/without mitomycin,Jouy
M40t90_1,M40t90,17,with mitomycin,with mitomycin,90 min with mitomycin (E17_5),treatment,LB,17: with/without mitomycin,Jouy
M40t90_2,M40t90,17,with mitomycin,with mitomycin,90 min with mitomycin (E17_5),treatment,LB,17: with/without mitomycin,Jouy
M40t90_3,M40t90,17,with mitomycin,with mitomycin,90 min with mitomycin (E17_5),treatment,LB,17: with/without mitomycin,Jouy
dia5_1,dia5,18,oxidative,oxidative,5min after diamide addition (E18_2),treatment,LB,18: with/without diamide,Jouy
dia5_2,dia5,18,oxidative,oxidative,5min after diamide addition (E18_2),treatment,LB,18: with/without diamide,Jouy
dia5_3,dia5,18,oxidative,oxidative,5min after diamide addition (E18_2),treatment,LB,18: with/without diamide,Jouy
dia15_1,dia15,18,oxidative,oxidative,15min after diamide addition (E18_3),treatment,LB,18: with/without diamide,Jouy
dia15_2,dia15,18,oxidative,oxidative,15min after diamide addition (E18_3),treatment,LB,18: with/without diamide,Jouy
dia15_3,dia15,18,oxidative,oxidative,15min after diamide addition (E18_3),treatment,LB,18: with/without diamide,Jouy
Diami_1,Diami,19,oxidative,oxidative,10min after diamide addition (E19_1),treatment,LB,19: with/without oxidative drug (diamide/paraquat/H2O2),Newcastle
Diami_2,Diami,19,oxidative,oxidative,10min after diamide addition (E19_1),treatment,LB,19: with/without oxidative drug (diamide/paraquat/H2O2),Newcastle
Diami_3,Diami,19,oxidative,oxidative,10min after diamide addition (E19_1),treatment,LB,19: with/without oxidative drug (diamide/paraquat/H2O2),Newcastle
Paraq_1,Paraq,19,oxidative,oxidative,10min after paraquat addition (E19_2),treatment,LB,19: with/without oxidative drug (diamide/paraquat/H2O2),Newcastle
