PanelName,perfermance_f1score,frequency_score,effectSize_score,pairwise_distance_GRN,n_regulators_GRN,closeness_centrality_GRN,pairwise_distance_CEN,n_modules_CEN,betweenness_centrality_CEN
panel242,0.916501976284585,0.0115911485774499,0.640508676480753,2.6,14,0.346013078242858,0.12938153688617,6,0.0043059807858545
panel243,0.905138339920949,0.19072708113804,1.1903136166522,5.9,10,0.313977695768996,0.110010303907708,5,0.0106432595595367
panel244,0.916501976284585,0.202552394333216,1.156904829721,7,9,0.279412693017386,0.107253728424225,5,0.0112148071349091
panel245,0.927865612648221,0.213382507903056,1.0384838375246,7,9,0.279412693017386,0.106181611131651,5,0.0123624816888735
panel246,0.910820158102767,0.209242811982538,1.00745720877144,8.66666666666667,7,0.25000782320633,0.108710740728551,5,0.0137012037807375
panel247,0.905879446640316,0.243414120126449,0.976831956894705,8.66666666666667,7,0.25000782320633,0.104032915714856,4,0.0186743133619462
panel248,0.950098814229249,0.175237091675448,1.04159979467208,5.07142857142857,15,0.295685838917488,0.136448904184223,6,0.012358846706488
panel249,0.955780632411067,0.192249151153261,0.884234712988026,5.07142857142857,15,0.295685838917488,0.142952256592307,5,0.0116341230663373
panel250,0.950098814229249,0.203371970495258,0.884234712988026,5.47619047619048,13,0.285448951844508,0.132350780010495,4,0.0128681879106868
panel251,0.950098814229249,0.197802197802198,0.828468072134372,6,11,0.271752560076833,0.137038667659941,4,0.0142791537485242
panel252,0.950098814229249,0.182648401826484,0.693822659723015,3,10,0.326001100644205,0.152426970689324,4,0.00399183854347475
panel253,0.922677865612648,0.215806111696523,0.693822659723015,3.16666666666667,8,0.31567952639928,0.142251004918086,4,0.00478254710298909
panel254,0.911314229249012,0.0619599578503688,0.929012940025086,2.66666666666667,10,0.33871648931497,0.165186843120167,7,0.00285368689958575
panel255,0.906126482213439,0.0600632244467861,0.913615485285823,2.73333333333333,8,0.333751672547565,0.17636968526542,7,0.00246974696613456
panel256,0.911808300395257,0.0508429926238145,0.872670389290762,2.7,7,0.33913057201127,0.17067034133034,6,0.00271868661158929
panel257,0.91699604743083,0.238883034773446,1.0524030535956,2.66666666666667,16,0.356352405000073,0.12672717812877,7,0.00364843259870884
panel258,0.933794466403162,0.252078210982321,1.03738056675118,2.66666666666667,16,0.356352405000073,0.134361110992504,7,0.00387108759399452
panel259,0.934041501976285,0.273972602739726,0.951313515009591,2.4,14,0.368627728680418,0.143595448889755,7,0.00414255669249294
panel260,0.923171936758893,0.272316724371519,0.835514458607205,2.4,11,0.367742384513293,0.141577545157668,7,0.00455835019613782
panel261,0.91699604743083,0.274675096592905,0.822070508996114,2.16666666666667,9,0.378745427470787,0.144659102504612,6,0.00513998444300187
panel262,0.911561264822134,0.222760800842993,0.81576367484689,2.16666666666667,9,0.378745427470787,0.140181857794653,5,0.00601529650403429
panel263,0.934041501976285,0.109378292939937,1.06047373589554,2.6,16,0.354149509565896,0.164704935966559,8,0.0026141983813042
panel264,0.934041501976285,0.101159114857745,1.06047373589554,2.6,16,0.354149509565896,0.173194848186619,8,0.00233939613455126
panel265,0.938735177865613,0.103266596417281,1.00583826528453,3,15,0.329627460263511,0.181673973393014,7,0.00194440422872212
panel266,0.93947628458498,0.104621405991269,0.935591733223162,3,15,0.329627460263511,0.197960176362031,7,0.00101058959658923
panel267,0.911561264822134,0.112399016508606,0.804344469448311,2.66666666666667,14,0.343215526636673,0.205455832679738,6,0.00114176327520994
