run,size,performance,genes
run23_6,8,0.917737154150198,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run23_8,6,0.900444664031621,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run24_5,10,0.916254940711462,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run24_6,9,0.927865612648221,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run24_7,8,0.905879446640316,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run25_3,10,0.944664031620553,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run25_4,9,0.950098814229249,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run25_5,8,0.955533596837945,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run25_6,7,0.955533596837945,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run25_7,6,0.933300395256917,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run25_8,5,0.906126482213439,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run26_6,10,0.938982213438735,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run26_7,9,0.93947628458498,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run26_8,8,0.939229249011858,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run26_9,7,0.933794466403162,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run26_10,6,0.916749011857708,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run26_11,5,0.905632411067194,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run27_3,10,0.945158102766798,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run27_4,9,0.939229249011858,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run27_5,8,0.956274703557312,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run27_6,7,0.933794466403162,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run27_7,6,0.911808300395257,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run28_1,10,0.95602766798419,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
