SMMPr_1,SMMPr_2,SMMPr_3,HiOs_1,HiOs_2,HiOs_3,SMM_1,SMM_2,SMM_3,Salt_1,Salt_2,Salt_3
BSU00380,12.6395,12.7749,12.8529,13.1923,12.8277,13.0265,12.8845,12.8307,12.8809,12.3519,12.2255,12.4697
new_47673_50019_c,10.6499,10.8547,11.0052,8.7166,10.4197,9.3042,9.8097,10.1226,9.9918,11.4584,11.6248,11.7456
BSU00390,10.4501,10.7004,10.8304,11.6774,11.2761,11.3816,11.0456,10.9128,10.9761,10.652,10.3851,10.6408
new_48474_48554,10.6259,10.5243,11.0074,12.1389,11.8153,11.4859,11.0579,11.1553,11.0321,10.6735,10.0659,10.597
BSU00400,12.6871,12.3326,12.4401,14.3451,14.2553,14.1067,12.787,12.8045,13.1435,11.2516,10.9545,10.533
new_49987_50086,11.7681,11.5209,11.2456,12.2593,11.9584,11.7779,12.1735,12.1794,12.4283,11.8723,12.0448,12.075
BSU00410,10.7793,10.4029,10.4401,11.2655,10.9946,11.1404,11.2506,11.1289,11.1991,11.2894,11.3134,11.3284
BSU00420,10.2921,10.1256,10.2272,10.707,10.6904,10.7566,10.6528,10.6402,10.6893,10.6424,10.7582,10.6784
new_51558_51679,9.8597,10.1175,10.4758,7.617,8.2576,7.6052,7.4211,7.3025,7.2918,7.5348,7.4843,7.5802
BSU00430,9.0718,9.101,9.7987,7.4386,7.8793,7.4726,7.3291,7.0847,7.1018,7.35,7.3611,7.2968
new_52649_52719,9.6431,9.5613,9.9627,7.9671,8.1334,9.155,7.3317,7.1715,8.3258,7.1567,7.5527,7.0812
BSU00440,14.4348,15.0029,15.0573,15.616,15.384,15.7933,14.4752,14.8244,14.8089,15.7839,15.1884,15.2755
new_53111_53182,8.6207,8.6487,8.9927,9.2652,9.0491,9.1733,8.5053,8.4085,8.5537,9.2768,9.4874,9.3351
BSU00450,9.5111,9.1803,9.5163,9.4717,9.2459,9.3277,8.5505,8.4602,8.5598,9.4434,9.5113,9.5635
new_53363_55717_c,8.3319,7.9411,7.7447,7.7839,9.0626,8.1965,7.6508,7.8252,7.3915,7.8499,7.7778,7.2908
BSU00460,11.8571,11.918,11.8774,12.5093,12.2739,12.4331,12.2967,12.3089,12.4851,12.5694,12.5285,12.6388
BSU00470,12.8225,12.5305,12.654,13.1607,12.8566,12.9654,13.3411,13.1691,13.3361,12.7136,12.6365,12.6719
BSU00480,13.4888,13.6235,14.0108,13.8998,13.5605,13.8136,14.1029,14.0989,13.9217,13.2329,13.3464,13.4925
new_55707_55815,9.0528,9.1325,9.3971,10.2347,10.0878,10.2785,9.4039,9.5674,9.6779,9.2111,9.4581,9.5803
BSU00490,16.2709,16.0808,16.3619,16.2082,16.4156,16.3661,15.5623,15.5755,15.6557,15.1275,14.9519,14.9238
new_56193_56304,11.1844,11.3922,11.3393,10.398,10.3527,10.5144,9.4622,9.4439,9.428,8.9716,9.1818,9.1234
BSU00500,13.5991,13.7137,13.7837,13.7381,13.5283,13.7844,13.7887,13.8082,13.7706,12.9051,12.852,13.0915
BSU00510,13.4667,13.5254,13.768,13.6238,13.4411,13.6762,13.6772,13.5605,13.6612,12.7715,12.6569,12.7994
BSU00520,13.5008,13.5735,13.6331,14.2431,14.2028,14.0962,13.6693,13.6471,13.6636,16.452,16.4391,16.4256
BSU00530,11.5464,11.5531,11.828,11.9632,11.6871,11.7866,11.8893,11.8022,11.8051,13.2165,13.2537,13.2832
BSU00540,11.7685,11.8385,11.9325,12.2033,11.8205,12.0123,11.9842,11.9874,12.0323,13.2348,13.2693,13.2568
new_60361_60429,11.6268,11.5512,11.7975,12.1426,11.7487,11.6676,11.7688,11.5771,11.5423,12.6261,12.6932,12.6217
BSU00550,11.2645,11.3041,11.5099,11.5913,11.3613,11.4357,11.584,11.4715,11.562,12.4817,12.4987,12.5758
new_64001_64098,11.5828,11.5759,11.5768,11.5961,11.2244,11.4093,11.5357,11.334,11.5783,12.3033,12.3751,12.5158
BSU00560,11.4996,11.3842,11.4147,11.5204,11.179,11.2795,11.4116,11.262,11.3873,12.261,12.2294,12.3834
BSU00570,9.611,9.5665,9.6836,9.7585,9.5641,9.5783,10.1081,9.995,10.0385,10.9101,10.8384,11.0622
BSU00580,12.0598,12.118,12.4461,11.0763,10.6362,10.7745,12.8592,12.5363,12.7958,12.5536,12.3563,12.5725
BSU00590,12.2039,12.0984,12.492,11.1601,10.8336,10.9301,12.6694,12.6118,12.7713,12.4443,12.3861,12.5262
BSU00600,12.1732,12.133,12.4283,11.474,11.161,11.1611,12.7396,12.5501,12.5167,12.2242,12.2575,12.3259
BSU00610,12.0263,11.983,12.4944,11.5928,11.5362,11.508,12.6653,12.6787,12.6785,12.7938,12.7904,12.807
BSU00620,13.8121,13.6847,13.948,13.4735,13.3005,13.3133,13.6151,13.6872,13.5942,14.2498,14.2102,14.304
BSU00630,14.3199,14.2384,14.3634,14.5303,14.5524,14.6662,14.4057,14.4808,14.4526,14.8622,14.5649,14.8025
new_70382_70493,8.5834,8.0679,8.3563,8.4046,8.5174,8.2644,9.016,9.2469,9.4019,8.6901,8.6254,8.7948
BSU00640,8.7479,8.922,8.6573,10.1136,10.248,9.8491,8.6589,8.8232,9.178,8.3643,8.1559,8.4545
new_71190_71799_c,8.2808,8.205,7.9347,8.1964,8.6068,7.9354,7.268,7.2756,7.3329,7.4555,7.4534,7.2239
BSU00650,10.0576,9.9462,9.8152,10.8496,11.033,10.6462,9.5671,9.766,9.8477,10.5601,10.8182,10.5179
BSU00660,8.9973,8.8856,8.7778,9.5456,9.4563,9.036,8.471,8.5119,8.6035,9.81,9.783,9.742
BSU00670,12.5235,12.6376,12.6099,12.9169,12.6982,12.7249,12.4476,12.3277,12.4684,14.1478,14.1699,14.2595
BSU00680,13.4731,13.55,13.79,14.1491,13.8249,13.9488,13.9914,13.8256,13.8605,14.3681,14.3838,14.6121
new_76887_76983,13.8062,14.0689,14.0775,14.3265,14.1907,14.1928,14.2992,14.0316,14.2378,14.8402,14.8176,15.0353
BSU00690,14.9271,14.9949,15.1402,14.9062,14.716,14.8926,14.929,14.8939,14.9051,15.66,15.5804,15.6539
new_78940_79025,9.4496,9.3871,9.7512,8.6487,8.4092,8.2758,9.6657,9.4031,9.6445,10.5649,10.398,10.6802
new_79027_79091,11.3587,10.5098,10.8507,11.101,9.9095,10.5803,11.213,11.8002,11.5291,11.7204,11.3008,11.832
BSU00700,11.3809,11.3031,11.3872,11.0437,10.6741,10.8696,11.604,11.4992,11.5496,11.7034,11.715,11.8525
BSU00710,11.2305,11.2908,11.5521,10.9787,10.7979,10.928,11.5811,11.4093,11.5241,11.402,11.3151,11.5047
BSU00720,11.3925,11.4255,11.4461,11.3651,11.0475,11.2364,11.3986,11.3881,11.3728,10.4527,10.2432,10.5549
BSU00730,13.8923,13.8482,13.9903,14.4576,14.2888,14.359,13.9955,14.0846,14.1401,13.7246,13.6576,13.4248
BSU00740,11.3118,11.3094,11.4462,11.8349,11.5297,11.5756,11.6547,11.5479,11.5721,10.616,10.5269,10.6246
BSU00750,12.4419,12.4518,12.5838,12.7753,12.4137,12.654,12.741,12.6997,12.7465,12.1021,11.9491,12.0795
