LBexp_1,LBexp_2,LBexp_3,LBGexp_1,LBGexp_2,LBGexp_3,G135_1,G135_3,G150_1,G150_2,G150_3,G180_1,G180_2,G180_3
new_90318_90535,16.4732,16.3954,15.8033,14.7215,16.4362,16.4118,16.2025,14.8543,16.3135,16.4109,16.3828,16.3933,16.4147,15.9725
new_101212_101289,12.417,12.1167,11.9905,12.3885,9.6331,11.9005,13.7927,11.8726,12.6925,13.9479,13.0835,13.3475,13.666,12.8507
BSU00830,14.4778,13.7208,13.5381,12.8622,13.3203,13.141,14.154,12.3746,13.9824,14.5818,14.3669,14.1992,14.6397,13.5809
BSU00840,13.9669,13.2287,13.0821,12.8638,12.7432,12.6715,13.8008,11.8019,13.4315,14.1163,13.8848,13.5493,14.0884,12.7366
BSU00850,14.0345,13.3628,13.2401,12.8642,12.6655,12.7641,13.5474,11.5926,13.313,13.8496,13.6035,13.199,13.5564,12.2098
BSU00860,14.0071,13.4289,13.2475,12.9214,12.6608,12.8388,13.0904,11.0372,13.1886,13.6743,13.2946,12.671,13.2493,11.7234
BSU00870,12.6243,11.9622,11.5356,12.2479,12.6017,11.8629,12.2708,10.2718,12.0121,12.9392,12.0015,11.833,12.5026,10.5741
BSU00880,12.991,12.3806,12.2081,12.5763,12.8618,12.2969,12.7017,10.5117,12.3402,13.1364,12.6898,12.1759,12.7093,11.5619
new_108559_108673,13.074,12.7272,12.504,12.5877,12.9772,12.7736,12.5627,10.4024,12.3452,13.1043,12.4347,12.1654,12.4993,11.496
BSU00890,13.2691,13.0772,12.8439,13.0491,13.1204,12.9449,12.9789,10.7895,12.6553,13.4643,13.0088,12.6307,13.1574,11.8573
BSU00900,12.973,12.7732,12.6809,12.7402,12.8723,12.9976,12.9265,10.8907,12.6178,13.4571,13.0552,12.8228,13.3316,11.6386
BSU00910,12.7862,12.3394,12.2442,12.7257,12.2872,12.5181,12.6964,10.6038,12.465,13.1041,12.9103,12.4459,13.1761,11.4352
