SMMPr_1,SMMPr_2,SMMPr_3,HiTm_1,HiTm_2,HiTm_3,BMM_1,BMM_2,BMM_3,Heat_1,Heat_2,Heat_3
new_55707_55815,9.0528,9.1325,9.3971,9.125,9.2583,9.7031,10.0313,10.0198,10.3528,10.5474,10.1596,10.4331
BSU00490,16.2709,16.0808,16.3619,16.2146,15.4471,16.0455,14.5693,14.3748,14.7158,13.9749,13.7773,13.6
new_56193_56304,11.1844,11.3922,11.3393,10.0834,8.9608,9.781,9.2959,9.1465,9.2067,8.6923,8.2794,8.7345
BSU00500,13.5991,13.7137,13.7837,13.0547,14.3141,13.9834,14.7379,14.524,14.4565,15.1093,14.7109,14.5998
BSU00510,13.4667,13.5254,13.768,14.2365,14.2393,13.9314,14.4623,14.1953,14.3559,15.0229,14.6326,14.568
BSU00520,13.5008,13.5735,13.6331,15.9943,14.5359,14.2437,14.4733,14.3014,14.7571,15.9029,15.5868,15.4296
BSU00530,11.5464,11.5531,11.828,12.3893,12.103,11.9279,12.6655,12.4963,12.6218,13.6137,13.6619,13.4712
BSU00540,11.7685,11.8385,11.9325,12.3986,12.2766,12.1795,12.713,12.5253,12.7383,13.6844,13.6246,13.484
new_60361_60429,11.6268,11.5512,11.7975,11.6755,11.9983,11.9793,12.6447,12.5114,12.7225,13.3844,13.5638,13.2351
BSU00550,11.2645,11.3041,11.5099,12.0107,11.8664,11.6259,12.3918,12.1977,12.4424,13.1134,13.1469,12.9061
new_64001_64098,11.5828,11.5759,11.5768,11.9634,11.924,11.6615,12.1056,11.9948,12.3505,12.9034,13.0483,12.8256
BSU00560,11.4996,11.3842,11.4147,11.8082,11.5941,11.5004,12.0152,11.856,12.0187,12.8394,12.85,12.6339
BSU00570,9.611,9.5665,9.6836,9.4109,10.2384,10.1077,10.6952,10.5953,11.0916,11.5857,11.465,11.2607
BSU00580,12.0598,12.118,12.4461,11.1817,11.8003,11.7687,13.1219,12.9013,12.896,12.9515,13.0217,12.784
BSU00590,12.2039,12.0984,12.492,11.8066,11.8545,11.7392,12.964,12.7939,12.9321,13.1278,12.9846,12.8069
BSU00600,12.1732,12.133,12.4283,11.6165,11.695,11.7257,12.9237,12.6401,12.8248,12.8152,12.8691,12.6182
BSU00610,12.0263,11.983,12.4944,11.846,12.1224,12.1311,12.7683,12.6263,13.0009,13.1762,12.9263,12.8801
BSU00620,13.8121,13.6847,13.948,12.6318,13.3528,13.9814,13.6103,13.2821,13.6365,14.0539,14.096,13.7357
BSU00630,14.3199,14.2384,14.3634,13.158,14.4644,14.7498,14.3728,14.1441,14.6678,14.9657,14.6834,14.371
new_70382_70493,8.5834,8.0679,8.3563,8.1196,10.537,10.9492,10.7986,10.5542,10.933,11.8683,11.2776,11.5193
BSU00640,8.7479,8.922,8.6573,8.727,9.4963,9.6727,8.6959,8.4899,8.7523,9.5594,9.3739,9.4223
new_71190_71799_c,8.2808,8.205,7.9347,7.1697,6.8824,7.1059,6.8457,6.897,7.2495,7.3765,6.8937,7.4624
BSU00650,10.0576,9.9462,9.8152,10.0737,10.3405,10.2563,9.2475,9.0368,8.7935,9.5022,9.469,9.3941
BSU00660,8.9973,8.8856,8.7778,9.417,9.3631,9.5423,8.4579,8.3436,8.5482,9.3652,9.2086,9.3709
BSU00670,12.5235,12.6376,12.6099,11.0148,12.1666,12.422,12.6044,12.5294,12.8653,13.811,13.7279,13.6143
BSU00680,13.4731,13.55,13.79,13.3115,13.6963,13.8628,14.1385,13.9988,14.1897,14.6566,14.3908,14.4157
new_76887_76983,13.8062,14.0689,14.0775,13.5871,14.2303,14.071,14.4865,14.2923,14.5686,14.9161,14.8227,14.6164
BSU00690,14.9271,14.9949,15.1402,14.5594,14.6289,14.5829,15.0033,14.9095,15.1093,15.5387,15.2948,14.9055
new_78940_79025,9.4496,9.3871,9.7512,8.9616,9.2531,9.0275,10.5185,10.4103,11.2311,11.9256,11.4963,11.9553
new_79027_79091,11.3587,10.5098,10.8507,9.225,11.183,10.8898,12.767,12.3307,12.0478,12.6309,12.296,12.0302
BSU00700,11.3809,11.3031,11.3872,10.6328,11.0143,11.0214,12.3072,12.1808,12.4557,12.9612,12.6032,12.3716
BSU00710,11.2305,11.2908,11.5521,11.1604,11.28,11.0716,12.1111,11.8398,12.0888,12.7002,12.4767,12.1855
BSU00720,11.3925,11.4255,11.4461,11.6081,11.9132,11.8198,12.0338,11.7681,11.9399,12.792,12.5675,12.5055
BSU00730,13.8923,13.8482,13.9903,13.5781,13.4268,15.3054,14.0993,13.9176,14.0554,14.4595,14.2589,13.8962
BSU00740,11.3118,11.3094,11.4462,11.7461,12.2111,12.297,12.0014,11.8106,11.6422,11.9315,11.8188,11.689
BSU00750,12.4419,12.4518,12.5838,12.3583,12.9078,12.8627,13.234,12.85,12.6423,13.0773,13.1141,12.6618
BSU00760,12.084,11.9461,12.1862,11.6841,12.4601,12.3098,12.935,12.5059,12.487,13.0138,12.8615,12.8379
BSU00770,11.9792,11.9961,12.0728,11.6853,12.2722,12.0559,12.9387,12.5358,12.391,12.8311,12.8187,12.3854
BSU00780,12.1732,12.2597,12.5211,11.9671,12.5001,12.4184,13.038,12.6052,12.3933,12.8966,12.9145,12.453
BSU00790,12.2386,12.0888,12.3448,12.1803,12.6427,12.3882,13.0819,12.4877,12.6656,13.2257,12.9588,12.805
BSU00800,12.4798,12.5426,12.4615,12.1324,13.0223,12.9033,13.6134,13.2703,13.1575,13.8637,13.4033,13.1719
BSU00810,13.09,12.9669,13.2781,12.7171,13.1801,13.1602,13.9849,13.6468,13.5004,13.8282,13.7122,13.452
new_88050_89566_c,7.7125,7.7855,7.5328,8.1299,7.7579,7.82,6.9171,7.0888,7.7142,7.8076,7.2587,7.7854
new_88636_88726,13.2987,13.4055,13.4709,12.7568,13.2476,13.3155,14.1482,13.766,14.1048,13.9929,13.9847,13.916
BSU00820,13.1428,13.2749,13.4199,13.1889,13.178,13.1631,14.0684,13.7904,13.9654,14.083,13.8605,13.77
new_90318_90535,15.0233,15.0945,14.593,12.24,14.9642,15.2102,16.1597,16.0207,15.8758,16.2638,16.1265,16.1386
new_101212_101289,8.8922,8.8632,8.9416,9.8109,11.4259,11.2692,12.2419,12.3871,12.3551,12.3929,11.9174,11.5957
BSU00830,13.1193,13.4791,13.5313,14.9296,14.6152,14.3477,13.362,13.3514,13.4204,16.392,16.0164,16.3235
BSU00840,12.6928,12.9147,12.9212,14.3076,14.1915,13.9332,12.8561,12.7745,12.9559,16.4444,16.1258,16.3498
BSU00850,12.8094,13.0927,13.1989,14.4143,14.2309,13.9791,12.9127,12.6826,12.811,16.2853,16.01,15.9821
BSU00860,13.2222,13.3853,13.223,14.474,14.3149,14.0561,12.9569,12.8665,12.8636,15.968,15.6569,15.5724
BSU00870,12.3565,12.6153,12.5996,12.1459,12.8219,12.7812,11.885,11.6808,11.7763,13.8173,13.8655,13.1141
BSU00880,12.6885,12.8172,13.0298,12.8315,13.1998,13.2587,12.2007,12.163,12.5122,14.4565,14.3663,14.2538
new_108559_108673,12.8511,13.0175,13.0733,13.2914,13.4788,13.5494,12.5111,12.332,12.729,14.4155,14.3841,14.2386
BSU00890,13.0758,13.1633,13.357,13.6319,13.3301,13.4645,12.9975,12.9108,13.1564,14.6341,14.6035,14.2577
BSU00900,12.2435,12.2668,12.6141,12.7812,12.8202,12.9018,12.5898,12.3219,12.9175,14.1754,14.2396,13.761
BSU00910,11.3233,11.3922,11.6249,11.4896,11.7968,11.9761,12.3557,12.1912,12.1052,12.9699,12.9084,12.4249
BSU00920,13.3403,13.3646,13.5541,13.3356,13.6553,13.6607,14.049,13.8736,13.9822,14.4296,14.2066,13.9545
new_112499_112799,12.9837,12.5949,12.7002,13.735,13.8179,13.6658,13.9111,13.6397,12.7009,13.2935,13.5362,12.2674
BSU00930,11.3225,11.4661,11.6778,12.4007,11.8829,11.5244,12.6608,12.6708,12.1483,12.6929,12.5904,12.0237
BSU00940,11.4897,11.6758,11.871,12.3605,11.956,11.8268,12.7564,12.7052,12.6379,13.2125,12.9503,12.7293
BSU00950,11.5972,11.9498,12.168,12.3737,12.0459,12.0521,13.1065,12.8946,12.8246,13.4197,13.3826,13.1401
BSU00960,11.8397,11.9605,11.9822,12.0762,12.0597,11.9782,12.971,12.8106,12.6293,12.9042,12.9398,12.4469
BSU00970,12.1504,12.2798,12.3752,12.4722,12.3737,12.4121,13.3771,13.16,13.044,13.4033,13.2167,12.8365
BSU00980,14.5725,14.7435,14.7326,13.6533,14.0799,14.6552,14.3035,14.2723,14.2294,14.8078,14.4158,14.4495
new_117257_117348,14.5564,14.472,14.8242,14.2633,14.4017,14.8164,14.0582,13.9548,14.1474,14.9103,14.1977,14.2609
BSU00990,13.8349,13.8466,13.9184,13.3575,13.5709,13.9778,13.769,13.3821,14.0056,14.5934,14.3035,14.0474
BSU01000,13.3739,13.3279,13.5214,12.7155,13.0114,13.4592,13.3379,13.2269,13.3257,14.014,13.7242,13.6313
new_117712_117889,12.9864,12.8315,12.8904,10.2924,12.6954,12.7583,14.0422,13.8116,13.5551,13.9117,13.5379,13.4687
BSU01010,13.1486,12.9113,13.1903,11.7149,12.7071,12.737,14.1464,13.9467,13.6865,13.6479,13.6385,13.1794
new_118452_118590,16.4753,16.4646,16.4617,15.9286,16.4832,16.4804,16.4894,16.4795,16.447,16.4442,16.4546,16.1803
BSU01020,16.4954,16.4629,16.4725,16.3876,16.4872,16.4818,16.4934,16.4744,16.4695,16.4736,16.4833,16.434
new_119017_119110,15.8541,15.9529,16.3187,15.5835,15.9935,15.7457,16.3828,16.3751,16.4168,16.4655,16.4472,16.3928
BSU01030,15.9938,16.2489,16.4243,16.251,16.2645,16.0695,16.4323,16.2782,16.325,16.454,16.4092,16.433
BSU_misc_RNA_3,16.4944,16.4796,16.4777,16.4699,16.4885,16.4839,16.4977,16.4924,16.48,16.4786,16.4702,16.4661
BSU01040,16.4612,16.4545,16.4736,16.3346,16.3326,16.2445,16.4942,16.4878,16.4764,16.4779,16.4853,16.4467
BSU01050,16.4011,16.3667,16.4635,16.3993,16.407,16.3811,16.4512,16.4118,16.4666,16.4583,16.4041,16.4328
BSU01060,12.9134,12.8899,13.0474,12.9299,12.9293,12.5677,13.5581,13.4519,13.292,14.3829,13.9434,13.6209
new_121686_121918,15.4506,15.2444,15.6603,13.9404,15.0623,15.376,16.2116,16.0301,16.3105,16.3711,15.8995,15.9057
BSU01070,14.8357,14.8763,14.9659,15.0153,14.6274,14.5033,15.2484,15.2092,15.0968,15.2782,15.1633,14.9022
BSU01080,15.1544,15.1745,15.3108,15.4426,14.8815,14.8842,15.4836,15.4044,15.5325,15.6989,15.4853,15.2661
