T-5.40H_1,T-4.40H_1,T-3.40H_1,T-2.40H_1,T-1.40H_1,T-1.10H_1,T-0.40H_1,T0.0H_1,T0.30H_1,T1.0H_1,T1.30H_1,T2.0H_1,T2.30H_1,T3.0H_1,T3.30H_1,T4.0H_1,T5.0H_1
new_45524_45632,13.5362,13.0671,13.2007,12.9503,12.9414,12.8966,12.7414,12.7485,12.1599,11.9034,11.3257,10.8989,11.9925,11.4878,11.6897,11.7248,11.2625
BSU00380,13.3577,13.0457,13.0301,12.8173,12.7651,12.7953,12.5984,12.5918,11.9352,11.6057,11.2005,10.943,11.8461,11.3105,11.6739,11.6519,11.1844
new_47673_50019_c,10.1844,10.8991,11.2912,10.8643,11.0623,11.3503,11.7823,11.6535,12.6446,12.233,11.1608,10.5558,11.0002,9.9834,10.1466,9.4202,9.1147
BSU00390,11.5785,11.224,11.1375,10.876,10.6756,10.888,10.377,10.5354,10.1693,9.9948,9.9885,9.6333,10.3739,9.9443,10.2226,10.2271,9.6417
new_48474_48554,11.9732,11.677,11.0938,11.0708,11.0607,11.1773,10.0632,10.9197,10.366,10.1407,9.9688,9.6985,10.2929,9.8535,10.1727,10.4952,10.2001
BSU00400,14.2176,13.5323,13.0634,12.5761,12.5498,12.293,11.6704,11.8237,11.9952,11.4473,11.8776,12.1133,13.0331,13.224,14.1105,14.4775,14.5434
new_49987_50086,13.1064,12.5765,12.5782,11.9878,12.0489,12.0633,11.9558,11.5511,10.328,9.8325,9.9645,9.6358,10.9642,10.3618,11.1691,11.4586,10.9806
BSU00410,11.8993,11.8123,11.415,11.0584,10.9699,11.2612,11.0693,10.51,9.5359,9.5502,9.4353,9.4774,10.1667,10.0095,10.4563,10.5225,10.3718
BSU00420,11.0732,11.1053,10.7692,10.3729,10.3397,10.5814,10.3032,10.0169,9.0533,8.9585,8.8452,8.9045,9.3895,8.9171,9.4654,9.7266,9.433
new_51558_51679,7.6275,7.718,7.3796,7.3674,7.2212,7.0279,6.9369,6.8039,7.4896,7.2873,7.7656,7.9627,7.5469,7.4705,7.9132,7.6166,7.8912
BSU00430,7.2769,7.5456,7.1232,7.2299,7.1265,6.8621,6.8769,6.718,7.6742,7.3275,7.714,7.9991,7.5178,7.3532,7.6754,7.4301,7.6028
new_52649_52719,8.3197,7.7141,7.1934,7.4596,7.0179,6.675,6.8594,6.7038,7.8359,7.4518,8.1335,7.9932,7.8313,7.636,8.4933,10.0127,10.5098
BSU00440,15.2597,15.4016,15.2182,14.88,15.2642,15.053,15.9213,15.7533,16.2515,16.0955,15.9664,15.3001,15.74,15.218,15.4158,15.0289,14.2744
new_53111_53182,10.3823,10.5095,9.4857,9.1923,9.1431,9.1985,9.6268,9.3611,10.3697,9.5868,9.4197,9.1916,9.4011,9.1555,9.9948,9.4418,9.9368
BSU00450,10.6375,10.6245,9.5514,9.1754,9.1809,9.2542,9.7321,9.3797,10.436,9.6739,9.466,9.1789,9.3392,9.2001,9.9252,9.462,9.9608
new_53363_55717_c,8.3911,7.9903,7.5254,7.1589,7.1808,7.0876,6.8427,6.778,7.7076,7.4852,7.7836,8.1137,9.094,9.9727,11.1368,11.5426,11.8532
BSU00460,12.8279,12.7724,12.634,12.3551,12.3932,12.3934,12.2631,12.0673,9.8552,10.0511,9.949,10.3815,11.3571,11.1117,11.5062,11.6508,11.037
BSU00470,13.3172,13.22,13.3178,13.1532,13.0259,13.0837,12.8633,12.667,10.1006,10.0095,9.9836,10.4111,11.5483,11.4355,11.7761,11.9015,11.115
BSU00480,14.1954,13.7429,14.075,13.755,13.7853,13.6746,13.8029,13.7331,12.5029,12.2332,11.9425,11.928,12.7919,12.5957,12.8095,12.9064,12.1567
new_55707_55815,9.8429,9.5771,9.6482,9.2085,9.096,9.0917,8.8591,8.8891,9.3545,8.7912,9.217,8.9014,9.2984,9.1213,9.7514,9.7419,9.1724
BSU00490,15.7998,16.2107,16.3447,15.9176,16.0933,15.5231,15.9509,15.6116,15.938,15.8119,16.3393,16.3248,16.2465,16.413,16.3311,16.3102,16.3983
new_56193_56304,10.8349,10.3849,10.6331,10.7454,10.8348,10.7807,10.1281,10.3545,11.3036,10.3239,10.7684,10.0829,11.3696,10.8059,11.2016,11.4759,10.4478
BSU00500,14.1502,13.9733,13.9742,13.9173,14.0122,14.1214,13.9816,13.7445,13.3869,12.8109,12.3825,11.9251,12.6339,11.9835,12.2225,12.5282,11.8909
BSU00510,13.943,13.8868,13.8302,13.7319,13.6589,13.6976,13.5368,13.4642,12.8958,12.2823,11.8175,11.3505,12.0662,11.2827,11.7453,11.8886,11.339
BSU00520,13.7157,13.7246,13.6108,13.4287,13.5063,13.698,13.5802,13.4908,14.7806,14.0198,13.5224,12.9306,13.2525,12.537,12.8144,13.0551,12.6626
BSU00530,12.4424,12.0569,12.0192,11.885,11.7453,11.7589,11.6153,11.6374,10.65,9.8524,9.6575,10.1302,10.9834,10.828,11.2114,11.6221,11.2247
BSU00540,12.4884,12.1822,12.2014,11.9479,11.7937,11.7911,11.7053,11.6639,10.6178,9.9059,9.8453,10.111,11.0949,11.1067,11.6972,11.9865,11.9032
new_60361_60429,12.4067,12.2057,12.1567,11.9903,11.8549,11.8429,11.6236,11.7195,10.515,9.9116,9.8519,10.0954,11.0113,10.9888,11.4733,11.7048,11.6923
BSU00550,12.1618,11.9791,11.8299,11.7291,11.582,11.6991,11.2426,11.4875,10.1568,9.8683,9.7079,10.0587,10.8792,10.5014,11.039,11.2678,10.8706
new_64001_64098,12.1632,11.9743,11.7984,11.6069,11.317,11.4964,11.2754,11.3417,9.9877,9.6725,9.5476,9.765,10.5015,10.3327,10.9428,11.3617,11.3867
