LBexp_1,LBexp_2,LBexp_3,BT_1,BT_2,B36_1,B36_2,B60_1,B60_2
BSU00840,13.9669,13.2287,13.0821,13.8028,12.8886,13.9975,13.6093,14.3883,14.4988
BSU00850,14.0345,13.3628,13.2401,13.4437,12.6549,14.0855,13.6491,14.0885,14.0799
BSU00860,14.0071,13.4289,13.2475,13.9126,13.2507,14.2726,14.0468,14.0641,13.8711
BSU00870,12.6243,11.9622,11.5356,11.9542,11.3022,13.0938,12.7987,13.7835,13.5378
BSU00880,12.991,12.3806,12.2081,12.0323,11.5578,13.3484,13.0343,13.8164,13.7181
new_108559_108673,13.074,12.7272,12.504,12.1709,11.4824,13.4143,13.0622,13.9553,13.9438
BSU00890,13.2691,13.0772,12.8439,12.9009,12.1398,13.9287,13.4547,14.3793,14.0483
BSU00900,12.973,12.7732,12.6809,12.7225,12.2067,13.2598,12.9042,13.304,13.3599
BSU00910,12.7862,12.3394,12.2442,10.8404,10.4002,10.7777,10.6754,10.4923,10.7092
BSU00920,14.3785,14.3335,14.0448,12.1728,11.773,13.3047,13.1444,12.8002,13.0026
new_112499_112799,13.9774,13.6865,14.155,13.1967,12.9034,13.8893,13.4541,12.9394,13.0909
BSU00930,12.4668,12.435,12.2406,12.1176,11.6732,12.6445,12.2313,12.0438,11.971
BSU00940,12.6883,12.6401,12.7037,12.5674,12.0453,12.9287,12.6437,12.2956,11.9849
BSU00950,12.8564,12.6076,12.7049,12.4435,11.9028,12.9626,12.6093,12.4315,12.2655
BSU00960,12.8244,12.7133,12.6111,11.7674,11.0588,12.705,12.4803,12.2424,11.9283
BSU00970,12.9572,12.99,12.8472,11.984,11.4237,12.9304,12.4931,12.5623,12.3164
BSU00980,14.1397,14.2065,13.8056,13.1837,12.5428,13.7451,13.498,14.4944,14.7246
new_117257_117348,14.219,14.5364,13.9883,13.1985,12.5058,13.8008,13.5559,14.3552,14.7977
BSU00990,13.763,13.9211,13.2455,12.4119,12.2099,13.2603,13.1768,13.6486,14.2442
BSU01000,13.4482,13.4828,12.9695,11.9111,11.3999,12.8489,12.8719,13.4129,13.7149
new_117712_117889,14.4988,13.7041,13.426,11.0567,9.4912,12.0774,12.1968,12.7955,13.1734
BSU01010,14.5848,13.7564,13.6956,11.5576,10.8848,13.0977,13.0039,12.5063,13.2202
new_118452_118590,16.4845,16.4879,16.4708,16.1146,15.7516,16.487,16.4568,16.4784,16.484
BSU01020,16.4877,16.4921,16.4797,15.9494,15.4541,16.492,16.4243,16.4839,16.4863
new_119017_119110,16.4885,16.487,16.4773,15.3058,14.6641,15.9427,15.6194,16.0339,16.2672
BSU01030,16.4835,16.4782,16.4692,15.319,14.9781,16.0069,15.6324,16.1335,16.4176
BSU_misc_RNA_3,16.4891,16.4946,16.4811,16.4314,16.1463,16.4313,16.3829,16.464,16.4652
BSU01040,16.4877,16.4926,16.4802,15.8474,15.2448,15.0332,14.9531,14.9794,14.8402
BSU01050,16.4794,16.4845,16.469,15.7611,15.4057,15.044,14.8357,14.7328,14.7721
BSU01060,14.1655,13.4266,13.1173,12.1406,11.6259,11.9907,12.0095,11.8368,11.9013
new_121686_121918,16.4868,16.1311,16.3062,14.2797,13.8764,15.6524,15.3104,15.5725,16.2511
BSU01070,15.5732,15.1746,15.0846,14.8029,14.112,15.2659,15.0012,14.7621,14.6212
BSU01080,15.6555,15.613,15.3793,15.4049,14.7612,15.5641,15.2009,14.9545,14.6698
new_129162_129283,16.0916,16.1254,15.996,16.1492,15.002,16.066,15.8147,15.9246,15.3939
BSU01090,16.461,16.4712,16.4666,16.4255,15.492,16.3007,15.984,16.43,16.3848
new_129589_129701,16.4269,16.4582,16.4538,16.3517,15.5577,16.2724,15.6764,16.4189,16.2788
BSU01100,16.3351,16.4407,16.4384,16.0997,15.379,16.2462,16.056,16.2655,16.3424
BSU01110,16.4877,16.4931,16.48,16.4807,16.0289,16.5001,16.4924,16.4907,16.4924
BSU01120,16.4747,16.4806,16.4693,16.4031,15.7286,16.4308,15.8449,16.2313,16.2971
new_132763_132881,16.4518,16.4095,16.4491,16.3744,15.554,16.322,15.8856,16.0069,16.262
BSU01130,16.42,16.4205,16.4174,16.0951,15.714,16.0271,15.6085,15.6188,15.537
BSU01140,11.0421,10.619,10.258,10.0254,9.5595,10.163,9.9372,9.9113,9.911
new_135170_135363,16.4685,16.4708,16.4618,15.999,15.2738,16.2194,16.1088,15.752,16.0698
BSU01150,16.4762,16.4811,16.4622,15.7672,15.1213,16.0429,15.7791,15.7139,15.8096
BSU01160,16.4211,16.4254,16.3777,15.2832,14.6846,15.5567,15.1856,15.3498,14.9951
BSU01170,16.4755,16.4633,16.4648,16.0349,15.5794,16.3441,15.6982,15.7443,15.6966
BSU01180,16.4637,16.4684,16.4618,16.1641,15.6917,16.0118,15.8384,15.7143,15.8245
BSU01190,16.4862,16.4908,16.4779,16.4209,15.7151,16.3689,15.8947,15.9916,15.73
BSU01200,16.4672,16.4726,16.4631,16.3267,15.7294,16.1196,15.7056,15.8497,15.5061
BSU01210,16.4325,16.4356,16.3842,15.5569,15.3558,15.9983,15.4205,15.2408,14.999
BSU01220,16.4746,16.4684,16.459,15.7722,15.0732,15.5832,15.3073,15.0876,14.7358
BSU01230,16.4353,16.3123,16.3234,15.5673,15.0043,15.5531,15.0917,15.1089,14.8489
BSU01240,16.4708,16.464,16.4141,15.6152,15.3163,15.6201,15.1766,15.2404,14.7345
BSU01250,16.4515,16.4566,16.4495,15.8939,15.2851,15.7593,15.3316,15.5764,15.1808
BSU01260,16.4389,16.4453,16.4402,15.696,15.2845,15.7348,15.3232,15.2311,14.7659
BSU01270,16.3977,16.3736,16.2416,15.5905,15.3083,15.6298,15.2582,15.1585,14.9121
BSU01280,16.407,16.3642,16.41,15.2954,14.7348,15.2153,14.7684,14.7497,14.2056
BSU01290,16.4442,16.4492,16.4477,15.5925,15.1053,15.3084,15.1393,15.0378,14.753
BSU01300,16.4452,16.4519,16.4481,15.9938,15.2486,15.5613,15.2726,15.1209,14.7384
BSU01310,16.4052,16.4141,16.397,15.5104,15.0204,15.2358,14.9363,14.5145,14.2873
BSU01320,16.4173,16.4247,16.3765,15.527,15.06,15.2454,14.9985,14.6488,14.4593
BSU01330,16.4526,16.4588,16.4541,15.7322,14.908,15.302,14.9555,14.6265,14.3875
BSU01340,16.4824,16.4868,16.4726,15.7666,15.3092,15.4264,15.0552,14.7889,14.8411
BSU01350,16.4658,16.4565,16.2614,15.3321,14.7146,14.976,14.8487,14.6377,14.1973
BSU01360,16.3865,16.4066,16.3995,15.1588,14.52,14.8242,14.5341,14.2949,13.8883
BSU01370,16.4591,16.4306,16.4432,15.6437,14.8098,15.0844,14.7563,14.7667,14.226
BSU01380,16.28,16.3674,16.3624,14.8986,14.1892,15.0119,14.5078,14.4473,14.1343
BSU01389,16.4667,16.438,16.4586,15.9086,15.3558,15.6704,15.313,15.4154,15.1593
BSU01390,16.4617,16.3925,16.4574,15.653,14.9141,15.5528,15.22,15.0558,14.9223
BSU01400,16.4615,16.4578,16.4582,15.6928,15.0579,15.579,15.2669,15.0208,14.9623
BSU01410,16.472,16.4778,16.4688,15.8423,15.0671,15.6494,15.2632,15.1892,14.9901
BSU01420,16.4729,16.4765,16.4656,15.5659,14.7889,15.1562,14.9422,14.6807,14.5159
new_148755_148930,16.4656,16.4526,16.4552,15.3069,14.8903,15.1952,14.9534,14.6463,14.5139
BSU01430,16.4584,16.4631,16.4554,15.633,15.0683,15.2261,14.9672,14.8121,14.6436
BSU01440,16.4736,16.4817,16.4721,15.6763,15.4019,15.335,15.0349,14.7634,14.422
new_150362_150442,14.7871,14.0913,14.1845,13.2634,12.3168,13.5376,12.9821,12.5836,12.6647
BSU01450,13.6247,12.8475,13.1734,12.009,11.3147,12.4176,12.1107,11.6424,11.2672
BSU01460,13.1016,12.5925,12.6433,11.8558,11.0364,12.1338,11.8707,11.6189,11.0892
BSU01470,12.9232,12.5181,12.4032,11.7476,10.9747,11.9382,11.6772,11.4355,10.8635
BSU01480,14.4837,13.7634,13.6363,12.3906,11.467,12.4494,12.1936,11.6124,11.348
new_153039_153507_c,7.0416,7.0536,7.2443,8.9352,8.7649,8.0165,8.1942,7.2648,7.9476
BSU01490,16.4219,16.4322,16.4017,15.3317,14.8159,16.17,15.8899,16.1416,16.1677
BSU01500,16.0766,16.066,15.8448,14.4453,13.9451,14.8484,14.8884,14.8939,14.6609
new_154838_155119,10.2065,10.3413,9.5449,7.8745,7.62,7.96,7.7824,8.3876,9.0397
BSU01510,12.62,13.2767,12.7542,10.9947,10.3211,8.6369,9.0584,10.2232,11.5469
BSU01520,7.9381,8.5969,7.9805,11.2459,11.0128,8.8153,9.02,8.79,9.1384
BSU01530,7.8533,7.8027,7.9058,11.7228,11.0875,10.702,10.7407,10.5549,10.4611
BSU01540,14.8332,14.7623,14.6173,13.184,12.3278,13.1294,12.8569,13.4778,13.4356
new_158050_158514_c,7.5361,7.6942,7.8414,9.3205,8.9308,7.9229,8.0437,7.7058,8.3662
new_158510_159181,11.5059,11.6385,11.7369,11.0527,9.9128,9.6033,9.2454,10.1748,11.0276
BSU01550,7.4791,7.2951,7.4661,10.9947,10.5986,10.0867,10.1612,9.8503,9.4362
new_159149_159778_c,6.9771,6.7613,7.1538,10.0098,9.4222,8.5966,8.6624,8.676,9.304
BSU01560,10.9513,11.0764,10.7378,10.3201,9.6108,10.4436,10.4057,10.251,10.2645
BSU01570,7.0577,6.8087,7.2631,12.3041,11.5798,11.388,11.1458,11.0815,10.8298
new_159779_160673,10.3576,10.6115,10.3041,10.3774,9.9953,10.4259,10.3256,10.1136,10.1754
new_160675_160892,16.3321,16.2195,15.6922,12.8821,12.4808,12.944,12.6599,13.1941,14.4515
BSU_tRNA_24,14.5246,14.8976,14.0989,13.8889,12.6365,12.5431,12.1713,12.7435,13.0931
