LBexp_1,LBexp_2,LBexp_3,LBstat_1,LBstat_2,LBstat_3,LBGexp_1,LBGexp_2,LBGexp_3,LBGstat_1,LBGstat_2,LBGstat_3,M9exp_1,M9exp_2,M9exp_3,M9stat_1,M9stat_2,M9stat_3
BSU00380,13.816,13.8333,13.7128,12.598,12.3121,12.3485,13.7431,13.6865,13.8064,12.9033,12.5035,13.3697,13.5749,13.2054,13.0347,10.7965,10.2252,10.0792
new_47673_50019_c,10.4329,10.6477,10.736,9.0122,8.6867,8.141,9.8804,8.1004,8.854,7.8651,7.5362,7.86,9.5111,8.9823,8.9125,8.6278,8.605,8.3034
BSU00390,11.6509,11.6492,11.525,10.7194,10.6692,10.5657,11.516,11.4273,11.4407,10.8842,10.611,11.0355,11.6969,11.3841,11.058,9.5511,9.2687,9.0481
new_48474_48554,11.1,11.3425,11.4558,10.9275,10.7373,10.5713,11.2625,10.9893,10.8044,11.2107,10.7726,11.3173,11.7411,11.3372,11.2251,9.4386,9.2498,8.9842
BSU00400,12.4448,12.5121,11.7984,11.9385,11.241,10.8551,11.8303,13.0646,12.2984,14.5757,12.9417,13.6194,14.2847,13.8232,13.6737,14.3292,13.2894,13.3266
new_49987_50086,13.1922,12.3313,12.1724,9.6663,9.4527,9.0479,9.7408,13.462,12.8575,11.1121,10.0394,9.8977,12.4543,12.1011,11.9071,9.7799,9.3653,9.2055
BSU00410,12.3668,11.2905,11.0155,9.0653,8.7166,8.4234,12.5925,12.6312,12.1356,10.8833,9.7394,9.7813,11.9077,11.4801,11.2574,9.5247,8.9249,8.7637
BSU00420,11.9763,10.9383,10.6044,8.8859,8.6342,8.5268,12.0603,12.1316,11.858,10.3055,9.3645,9.4767,11.1754,10.786,10.6139,8.9535,8.4737,8.276
new_51558_51679,8.3015,7.4463,7.546,7.0445,7.2878,7.3887,8.6597,10.2176,8.4118,7.6906,7.2604,7.7233,9.9062,9.9137,7.3442,8.1918,7.9069,7.6529
BSU00430,7.974,7.1335,7.3577,7.0542,7.3071,7.3896,8.1337,9.5498,8.097,7.566,7.358,7.7722,9.3139,9.1108,7.2316,8.0099,7.9548,7.6468
new_52649_52719,7.2908,7.1502,7.8201,7.4503,7.7831,7.4411,7.6076,7.4001,7.2993,7.6627,7.4272,7.8212,7.134,7.4913,7.6472,8.184,7.987,7.7861
BSU00440,15.3576,15.1346,15.3695,14.739,15.1158,14.2951,14.8635,15.3935,15.1661,14.7294,14.8343,14.0455,14.8985,14.3556,14.4865,13.755,14.3451,14.4306
new_53111_53182,9.7369,9.5604,9.6002,8.4138,8.821,8.1608,10.4956,10.7583,9.3644,9.0366,8.8399,8.282,8.8525,8.6511,8.4457,8.7521,8.8849,8.8624
BSU00450,10.0816,9.666,9.7362,8.4752,9.0057,8.0982,10.5306,10.9018,9.4381,9.2139,9.3047,8.3833,9.2214,8.9818,8.4945,8.8505,9.1099,8.939
new_53363_55717_c,7.3153,7.2688,7.4773,7.1997,7.3917,7.4373,7.4385,7.3925,7.3946,7.2678,7.1011,7.6423,7.0593,7.0747,6.8608,10.2523,8.5673,8.1707
BSU00460,13.0716,12.4367,12.0855,10.478,10.0186,9.8051,13.3207,12.9778,12.8555,10.8802,10.1407,10.6356,12.894,12.4914,12.3067,9.5597,9.3057,9.0286
