LBexp_1,LBexp_2,LBexp_3,LBGexp_1,LBGexp_2,LBGexp_3,BI_1,BI_2,BC_2,BC_t1,BC_t2,BC_1,Sw_1,Sw_2
BSU00780,13.4691,13.0309,12.8557,12.8734,12.8243,12.7774,12.6742,12.8861,12.5343,12.0117,12.3215,12.0885,12.2712,12.8292
BSU00790,13.2122,13.0971,12.9419,13.0874,12.6863,12.9445,12.5405,12.7082,12.4785,11.9789,12.3428,11.9546,12.1991,12.8854
BSU00800,14.0096,13.4897,13.2641,13.247,13.6727,13.8725,12.8218,13.0838,12.4924,12.1715,12.4195,12.0309,12.3828,12.799
BSU00810,14.2438,13.8794,13.6709,14.4569,14.0327,14.2541,13.7609,13.965,13.4099,13.0488,13.1404,12.9249,12.8591,13.465
new_88050_89566_c,7.6031,7.6313,7.7746,7.6342,7.4421,7.6921,7.3539,7.6125,7.8848,9.7161,10.3921,7.9164,8.7958,7.359
new_88636_88726,14.6027,14.1944,13.7115,14.5861,14.1177,14.5704,13.8969,14.1045,13.2963,12.7566,13.0513,12.8891,12.5743,13.4369
BSU00820,14.3807,14.1189,13.8962,14.337,14.0838,14.5744,13.8924,14.0414,13.1777,12.6307,12.9952,12.7528,12.5965,13.3115
new_90318_90535,16.4732,16.3954,15.8033,14.7215,16.4362,16.4118,14.4556,14.5955,12.8749,13.0171,13.1991,12.9896,11.3723,12.9567
new_101212_101289,12.417,12.1167,11.9905,12.3885,9.6331,11.9005,10.1032,9.6043,7.7562,8.874,10.9015,7.3787,7.4853,7.2201
BSU00830,14.4778,13.7208,13.5381,12.8622,13.3203,13.141,13.2615,13.3567,14.41,13.2524,14.3314,13.5773,14.802,15.3945
BSU00840,13.9669,13.2287,13.0821,12.8638,12.7432,12.6715,13.006,13.1735,14.1909,13.2098,13.9873,13.4372,14.7203,15.2154
BSU00850,14.0345,13.3628,13.2401,12.8642,12.6655,12.7641,13.1488,13.3341,14.3987,13.5238,14.164,13.6488,14.6572,15.2205
BSU00860,14.0071,13.4289,13.2475,12.9214,12.6608,12.8388,13.8973,14.0286,15.0129,14.4482,14.9468,14.3545,15.0641,15.4417
BSU00870,12.6243,11.9622,11.5356,12.2479,12.6017,11.8629,11.7567,11.8686,13.1867,12.4473,12.9441,12.1615,12.6016,13.3658
BSU00880,12.991,12.3806,12.2081,12.5763,12.8618,12.2969,12.2173,12.323,13.2106,12.3177,12.9624,12.3977,12.2905,13.2969
new_108559_108673,13.074,12.7272,12.504,12.5877,12.9772,12.7736,12.3567,12.6829,13.1669,12.0519,12.7442,12.3655,12.3989,13.3117
BSU00890,13.2691,13.0772,12.8439,13.0491,13.1204,12.9449,13.0537,13.2418,14.0834,13.356,13.9364,13.4402,13.6011,14.2814
BSU00900,12.973,12.7732,12.6809,12.7402,12.8723,12.9976,12.4843,13.3528,13.1933,12.7824,13.358,12.7398,13.5161,13.6588
BSU00910,12.7862,12.3394,12.2442,12.7257,12.2872,12.5181,11.5361,11.4993,10.3817,9.6449,10.5033,9.3484,9.6404,10.5877
BSU00920,14.3785,14.3335,14.0448,14.3715,14.4279,14.5091,13.9829,14.1369,13.6717,13.149,13.556,12.8582,13.5239,13.9109
new_112499_112799,13.9774,13.6865,14.155,14.219,14.0061,14.476,13.1237,14.0238,13.1049,12.9666,13.2334,12.3717,13.3459,14.0996
BSU00930,12.4668,12.435,12.2406,12.8872,12.6553,12.7018,11.5534,11.8526,11.8151,11.0165,11.5555,11.0145,11.5158,12.2329
BSU00940,12.6883,12.6401,12.7037,12.7261,12.6028,12.7453,11.9616,12.2107,12.1874,11.6525,12.0465,11.6967,12.1829,12.7228
BSU00950,12.8564,12.6076,12.7049,12.8806,12.721,12.7834,11.9913,12.6022,12.3014,11.7095,12.1185,11.8563,12.1046,12.7905
BSU00960,12.8244,12.7133,12.6111,12.9589,12.5532,12.7438,12.0128,12.3027,11.9946,11.5673,11.8971,11.3545,12.2434,12.6245
BSU00970,12.9572,12.99,12.8472,12.9898,12.9481,13.05,12.4267,12.7269,12.2964,11.6593,12.0355,11.6711,12.2232,12.8035
BSU00980,14.1397,14.2065,13.8056,13.9675,13.9498,13.7674,14.2728,14.3311,14.9529,14.3263,14.7905,14.4657,13.7219,14.2201
new_117257_117348,14.219,14.5364,13.9883,13.9686,13.9408,14.0599,14.0872,14.3714,14.7803,14.5503,14.6279,14.1939,13.7755,14.1998
BSU00990,13.763,13.9211,13.2455,13.8303,13.6126,13.7487,13.7766,13.4454,14.0011,14.3911,14.2672,13.6989,13.109,13.6473
BSU01000,13.4482,13.4828,12.9695,13.6201,13.3839,13.395,13.3676,13.2574,13.4826,13.4618,13.534,13.0309,12.6084,12.9565
new_117712_117889,14.4988,13.7041,13.426,14.3234,13.487,13.8502,12.979,12.7643,12.4753,11.3797,12.3262,11.6099,11.4551,12.4027
BSU01010,14.5848,13.7564,13.6956,14.6547,13.9615,14.3908,13.4347,13.47,13.0603,12.2617,12.7176,12.339,11.6915,12.8285
new_118452_118590,16.4845,16.4879,16.4708,16.4464,16.4831,16.4747,16.4596,16.5014,15.955,15.3186,15.8423,15.6683,15.5524,15.9772
BSU01020,16.4877,16.4921,16.4797,16.4754,16.4876,16.4788,16.4708,16.4987,15.7788,15.3441,15.7711,15.5414,15.6773,16.0214
new_119017_119110,16.4885,16.487,16.4773,16.4565,16.4878,16.4793,15.7009,15.6527,14.7497,14.0682,14.6162,14.3749,14.3911,15.0394
BSU01030,16.4835,16.4782,16.4692,16.4694,16.4807,16.4767,15.9137,15.8555,14.9879,14.4129,14.8095,14.6541,14.5541,15.1171
BSU_misc_RNA_3,16.4891,16.4946,16.4811,16.4791,16.4892,16.4794,16.3286,16.4713,16.0136,15.4054,15.7765,16.1601,15.2023,15.9265
BSU01040,16.4877,16.4926,16.4802,16.4479,16.4869,16.4786,15.8887,16.0639,14.4061,14.2462,14.2917,14.357,13.9984,14.3237
BSU01050,16.4794,16.4845,16.469,16.4614,16.4767,16.4708,15.914,15.9675,14.7104,14.7949,14.7054,14.701,14.2617,14.3313
BSU01060,14.1655,13.4266,13.1173,14.0719,13.8283,14.1953,11.3989,11.6456,10.5951,10.1706,10.6115,10.2122,8.7506,9.7802
new_121686_121918,16.4868,16.1311,16.3062,16.3229,16.0654,16.434,15.2826,14.9503,15.0622,14.4942,15.3591,14.4457,14.2299,14.7488
BSU01070,15.5732,15.1746,15.0846,15.5611,15.253,15.742,14.8628,14.9728,15.1672,14.9446,15.141,14.7396,14.6746,15.1648
BSU01080,15.6555,15.613,15.3793,15.9262,15.6174,16.2032,15.2556,15.2793,15.5433,15.4235,15.594,15.1814,15.505,15.6737
new_129162_129283,16.0916,16.1254,15.996,15.7773,15.726,16.3692,15.1483,15.4075,15.9073,15.362,15.8832,15.4253,15.2189,15.592
BSU01090,16.461,16.4712,16.4666,16.2296,16.4632,16.4572,16.2706,16.0616,15.8116,15.36,15.7694,15.4539,15.233,15.6752
new_129589_129701,16.4269,16.4582,16.4538,16.0517,16.43,16.4327,16.1616,15.7392,15.7958,15.3544,15.9456,15.4184,15.4721,15.6846
BSU01100,16.3351,16.4407,16.4384,16.1928,16.348,16.4354,16.0297,16.2462,15.6921,15.2338,15.7718,15.5082,15.1703,15.6814
BSU01110,16.4877,16.4931,16.48,16.458,16.4882,16.4789,16.4949,16.5159,16.4226,16.2261,16.4675,16.4508,16.1944,16.4575
BSU01120,16.4747,16.4806,16.4693,16.4376,16.4755,16.4705,16.1517,16.3796,16.2276,15.747,16.1423,15.9854,15.7709,16.0149
new_132763_132881,16.4518,16.4095,16.4491,16.4269,16.4754,16.4573,16.1598,16.4327,16.1251,15.8404,15.8719,15.4798,15.8546,15.9226
BSU01130,16.42,16.4205,16.4174,16.2759,16.4282,16.4368,16.2033,15.9801,15.7095,15.6034,15.661,15.4576,15.8925,15.8238
BSU01140,11.0421,10.619,10.258,11.1507,11.263,11.251,9.9592,9.9369,9.598,9.1847,9.8774,9.2218,8.6192,9.3104
new_135170_135363,16.4685,16.4708,16.4618,16.366,16.466,16.4617,16.1698,16.4756,15.4526,15.1679,15.8425,14.9347,14.8955,15.7858
