Glu_1,Glu_2,Glu_3,GM-0.1_1,GM-0.2_1,GM+5_1,GM+15_1,GM+25_1,GM+45_1,GM+60_1,GM+90_1,GM+120_1,GM+150_1,GM-0.1_2,GM-0.2_2,GM+5_2,GM+10_2,GM+15_2,GM+25_2,GM+45_2,GM+60_2,GM+90_2,GM+150_2,GM-0.1_3,GM-0.2_3,GM+5_3,GM+10_3,GM+15_3,GM+25_3,GM+45_3,GM+60_3,GM+90_3,GM+120_3,GM+150_3
BSU00150,12.0696,11.853,12.0955,11.5935,11.4958,11.5144,11.8951,12.2236,12.1719,12.1124,12.0415,10.9815,11.6555,12.0073,12.5234,11.995,11.9216,11.7716,12.1861,11.3524,11.16,12.0909,10.885,11.8956,11.8737,11.9327,10.9408,11.7016,11.4932,11.2111,11.2157,11.9547,11.7214,12.0528
BSU00160,7.8521,7.8557,7.6105,7.5825,8.0496,7.4789,7.4112,7.3433,7.6,7.2191,7.4249,8.119,7.5866,7.4879,7.8666,7.5433,7.1792,7.4375,7.404,6.9542,7.3446,7.8923,7.1816,7.7088,7.2891,7.6615,7.1549,7.4357,7.613,7.9703,7.6695,7.6621,8.2195,7.4587
BSU00170,8.6483,8.744,8.0373,7.9052,8.1801,8.0094,7.7992,7.9368,7.9612,7.6155,7.687,8.022,8.0009,8.3548,8.5802,8.4287,8.1233,8.119,8.1585,7.3861,7.7654,8.2565,7.5197,8.3912,8.0795,8.5921,7.6947,8.1056,8.0684,8.3593,7.9247,8.0798,8.5404,7.9227
new_25655_25851,11.1751,10.9391,10.964,11.1776,10.5461,10.9728,11.2686,11.3641,11.2733,10.9916,11.1078,9.5132,10.6481,11.5138,11.419,11.1729,11.0103,10.9809,11.3996,10.3675,10.2129,11.2421,9.7961,11.6808,11.3715,11.3212,10.2271,11.1956,10.8807,10.616,10.4526,10.6489,10.8393,10.6747
BSU00180,10.8663,10.9742,11.1263,11.1258,11.1476,11.0107,11.2586,11.4282,11.3807,11.3243,11.2809,10.516,10.7428,11.6381,10.6536,11.3342,11.2733,11.0739,11.2036,10.3323,10.623,11.3904,10.2026,11.4702,11.3422,11.5363,10.3371,11.0867,10.8307,10.6978,10.6917,9.9789,10.9609,10.0149
new_26383_26532,14.9938,16.1351,15.4852,14.8247,14.1561,14.7173,14.9163,15.2628,15.21,14.9871,14.8151,13.6554,14.5692,15.9052,15.0378,15.3179,14.7287,15.1853,15.2015,14.8653,14.1959,15.2513,14.7389,15.9875,16.0919,15.8335,14.5777,15.7341,15.221,14.4087,14.5318,14.1828,14.0765,14.5337
BSU_misc_RNA_2,14.7968,16.2712,15.7686,14.8813,14.2874,14.4701,14.8882,15.1122,14.9895,14.8156,14.9261,13.8273,14.5377,15.7181,14.8818,14.9541,14.8021,15.1871,15.1792,12.9058,13.7735,15.3783,14.098,15.8861,16.0232,15.8167,14.5763,15.7176,15.2811,14.2367,14.74,13.8973,14.5969,14.3249
new_26636_26731,14.619,15.8059,15.6332,14.1823,14.1266,14.3542,14.3045,15.0312,14.7092,14.49,14.4977,13.7627,14.391,15.5644,14.6621,14.7215,14.4929,14.5022,15.1168,13.4497,13.6433,15.381,13.536,15.4511,15.7064,15.3635,14.521,15.0575,15.2445,14.1193,14.7518,13.7805,14.6759,13.9004
BSU00190,12.5295,12.5204,12.6234,12.1357,12.253,11.8866,12.3796,12.8106,12.5839,12.4959,12.6617,11.6405,12.0592,12.7454,12.6058,12.48,12.5319,12.2161,12.5372,11.5748,11.6246,12.4317,11.4019,12.4647,12.4834,12.513,11.3722,12.2606,12.0883,11.9472,11.7198,12.0243,12.1168,12.2734
BSU00200,14.1346,13.941,14.0857,13.9086,13.8681,13.779,14.0933,14.3872,14.4599,14.3028,14.3417,13.2601,13.8908,14.0416,14.4375,14.111,14.1471,13.9584,14.2483,13.1502,13.3197,14.0747,13.2854,14.2073,14.0979,14.2843,12.9552,14.1514,13.8915,13.5401,13.5345,13.8872,13.9765,14.1272
