M0t45_1,M0t45_2,M0t45_3,M0t90_1,M0t90_2,M0t90_3,M40t45_1,M40t45_2,M40t45_3,M40t90_1,M40t90_2,M40t90_3
new_47673_50019_c,9.2792,10.4362,8.8735,7.6958,8.3239,7.7631,8.6562,8.6451,9.007,7.4046,7.9972,7.8134
BSU00390,11.6016,11.6564,12.1301,10.2509,11.2824,11.0391,11.5197,11.5596,12.3401,10.7201,11.2787,11.8479
new_48474_48554,11.8792,11.2546,12.1904,10.3154,11.2685,11.2696,11.6041,11.5743,12.2703,10.6319,11.1779,11.8457
BSU00400,12.9662,11.9704,13.0662,11.4844,12.5946,11.6787,12.0384,12.2081,13.3244,11.1809,12.1293,11.9324
new_49987_50086,10.2582,11.2704,11.2296,8.5576,9.9161,8.9432,9.7881,9.3546,11.8109,8.6603,9.5308,9.1663
BSU00410,10.1607,10.9848,10.9945,8.3769,9.545,8.5255,9.7303,8.8668,11.2776,8.3433,9.0606,8.6315
BSU00420,10.1309,10.8536,10.6423,8.2003,8.9802,8.4002,9.6408,8.7394,10.8079,8.1615,8.7062,8.4223
new_51558_51679,7.1485,7.5823,7.0763,7.3546,6.8742,7.0175,7.2877,7.1347,7.0282,7.041,6.8661,6.9011
BSU00430,7.1527,7.4678,6.9213,7.3563,6.7512,7.0019,7.2918,7.1171,6.8754,7.1135,6.9209,6.928
new_52649_52719,7.4541,8.4317,7.4517,7.5871,6.9501,7.0653,7.6304,7.477,7.3901,7.2115,6.9702,7.0518
BSU00440,15.049,15.1732,14.8327,13.1844,14.2626,14.206,14.6082,15.8194,14.5937,13.4621,13.9806,14.7339
new_53111_53182,8.7867,9.5496,8.3887,7.8225,8.2693,7.6445,8.4971,8.2251,8.8529,7.726,8.0331,7.8558
BSU00450,8.9064,9.7463,8.7608,7.8394,8.2256,7.5808,8.5763,8.1943,8.8927,7.6713,7.9477,7.8823
new_53363_55717_c,7.121,8.0577,7.0929,7.2819,6.9422,6.9826,7.3526,7.5148,7.0011,6.9596,6.7982,6.8345
BSU00460,12.2434,11.9846,12.4768,10.0532,10.7485,10.5903,12.0435,11.6551,12.7797,10.3917,10.8602,10.8827
BSU00470,12.5549,13.1237,13.0427,10.254,11.5324,11.3133,12.4428,12.0909,13.2422,10.7462,11.3518,11.531
BSU00480,13.74,14.2717,14.179,12.2442,12.9107,12.7999,13.5762,13.6527,14.1684,12.5677,13.1958,13.4593
new_55707_55815,9.1275,9.1138,9.3306,8.6162,8.916,9.2448,8.6453,8.6229,9.6628,8.8041,9.1489,9.5244
BSU00490,16.0071,14.8687,15.7317,15.8875,16.454,16.3794,15.1421,16.393,15.6288,16.1867,16.4519,16.4034
new_56193_56304,9.6301,9.0259,10.0967,9.9901,11.2692,11.5306,9.4473,10.2333,9.9556,10.656,11.6031,12.1318
BSU00500,14.061,14.7718,14.4746,11.9052,13.2725,12.5545,13.7126,12.46,14.6871,12.238,13.3194,13.2478
BSU00510,13.9156,14.8503,14.5563,12.0252,13.0196,12.5578,13.7927,12.2614,14.5685,12.3805,13.1687,13.31
BSU00520,14.084,15.0206,14.3542,12.1304,13.1014,12.4817,13.7675,13.0692,14.5247,12.5195,13.2662,13.1739
BSU00530,12.1222,12.7495,12.552,9.8994,10.9128,10.6861,12.0253,11.6594,12.7335,10.1641,10.7867,10.9665
BSU00540,12.2309,12.7243,12.9347,10.1021,11.2797,10.7905,12.1295,12.1089,12.9655,10.4996,11.1298,11.2408
new_60361_60429,12.2351,12.5797,12.7803,10.1359,11.2805,10.8214,12.126,12.1272,12.7919,10.4571,11.1488,11.185
BSU00550,12.2538,12.5778,12.5922,10.1006,10.9019,10.6928,12.2842,12.0471,12.7063,10.4766,11.0187,11.096
new_64001_64098,11.9649,12.6454,12.6106,10.1092,10.9982,10.5737,12.0189,12.0375,12.8353,10.3059,10.8265,11.0393
BSU00560,11.9543,12.2853,12.3832,9.6916,10.6575,10.0808,11.8648,11.7578,12.4534,9.8169,10.4782,10.4803
BSU00570,9.8843,10.5778,10.4157,8.2985,9.2883,8.7593,9.7882,9.0386,10.9313,8.3386,9.1276,8.915
BSU00580,12.7119,12.859,12.7931,11.6389,12.5417,12.1119,12.4479,11.7153,12.8683,11.5926,12.3257,12.2846
BSU00590,12.8445,13.1872,12.9559,11.8275,12.6765,12.1501,12.6193,12.0838,13.0017,11.6632,12.4295,12.3818
BSU00600,12.7691,12.9238,12.9038,11.4367,12.5413,12.0503,12.3365,11.8714,12.9641,11.526,12.1183,12.2635
BSU00610,12.4277,13.1346,12.9549,10.8805,12.6006,12.1529,12.2528,11.959,13.0979,11.1027,12.0196,12.0795
BSU00620,13.5511,13.7693,13.9824,12.3665,13.6865,13.2668,13.165,13.6016,14.0715,12.5014,13.3693,13.1276
BSU00630,14.5734,14.0252,14.3463,12.7383,13.8864,13.4191,13.6737,14.1533,14.6179,12.8155,13.6326,13.5615
new_70382_70493,8.2858,9.288,8.4694,7.5218,7.4082,7.2425,8.0225,7.5204,8.8909,7.2721,7.1704,7.0358
BSU00640,7.9056,8.2212,8.1501,7.5452,7.5036,7.464,8.004,7.7003,8.3586,7.3762,7.5038,7.5165
new_71190_71799_c,7.1275,7.0199,6.8895,7.3497,6.8575,6.9701,7.2895,7.1427,6.8235,7.0249,6.8734,6.9213
BSU00650,8.8286,8.5742,9.3721,8.2171,8.9784,8.3325,8.72,9.5065,9.6442,8.5027,9.0009,8.994
BSU00660,8.4989,8.416,8.953,7.9185,8.0993,7.9388,8.509,8.5988,9.0221,7.7206,8.0677,8.1898
BSU00670,13.1078,12.6291,13.6138,12.0749,13.0154,13.0107,12.7098,13.0677,13.9941,12.2057,13.0206,13.3036
BSU00680,14.4444,14.1428,14.5864,13.1765,13.9494,13.951,14.2542,14.4365,14.7797,13.1896,13.8003,14.3175
new_76887_76983,14.7076,14.5089,15.0857,13.2295,14.3024,14.111,14.5778,14.8682,15.2224,13.6376,14.4651,14.7098
BSU00690,15.5189,15.3699,15.5397,14.0168,14.7414,14.6938,15.3911,15.3713,15.6928,14.4816,14.922,15.1597
new_78940_79025,10.3296,11.1874,10.451,7.7664,8.0054,7.8287,10.1618,8.7943,10.8436,7.4858,7.7,7.8412
new_79027_79091,10.5813,11.7974,11.6956,7.9527,9.8514,9.0315,10.3979,9.2264,12.0722,8.8155,8.697,9.5478
BSU00700,11.0845,12.4039,11.876,9.138,10.3255,9.6391,10.8753,10.095,12.1738,9.0638,10.063,9.9426
BSU00710,11.5881,12.4974,11.9567,9.4892,10.7008,10.0471,11.3393,10.4392,12.3009,9.6374,10.4873,10.32
BSU00720,11.5788,12.1364,12.0759,10.5525,11.3989,10.9361,11.3357,11.4913,12.1784,10.6317,11.4963,11.6245
BSU00730,13.2715,14.8221,13.5084,11.9051,12.793,12.8059,12.8691,13.6269,13.662,12.7099,12.9942,13.5358
BSU00740,11.9592,12.0983,12.6292,10.5519,11.775,11.4013,11.8782,12.6981,12.8039,11.0332,11.6276,12.0038
BSU00750,12.794,13.1014,13.365,11.6623,13.0095,12.633,12.7355,13.4208,13.8372,12.2508,13.0125,13.2829
BSU00760,12.4083,12.7766,12.8868,11.0262,12.3643,11.6047,12.1411,12.2017,13.2121,11.1753,12.1966,12.2357
BSU00770,12.4163,12.5898,12.9388,10.9301,12.2714,11.6829,12.3149,12.3143,13.1595,11.409,12.276,12.3307
BSU00780,12.5405,12.8922,13.2799,11.3575,12.6127,11.9771,12.5372,12.6919,13.24,11.8095,12.6175,12.813
BSU00790,12.5363,12.8517,13.1742,11.2436,12.5707,11.8493,12.4566,12.7076,13.395,11.6018,12.408,12.5335
BSU00800,13.114,13.0123,13.4078,11.2465,12.3002,11.8451,12.7866,12.7309,13.6231,11.6082,12.437,12.5887
BSU00810,13.8579,13.8169,14.0575,11.9866,12.9332,12.5603,13.7133,13.4733,14.2812,12.191,13.0119,13.1379
new_88050_89566_c,7.2658,8.3248,7.3548,7.393,7.421,7.1129,7.4935,7.9286,7.2848,7.1231,7.0371,7.1089
new_88636_88726,14.1401,14.1651,14.3604,12.0112,12.9531,12.6388,13.9248,13.6738,14.4104,12.2305,13.0519,13.2498
BSU00820,14.1593,14.1991,14.4032,11.9908,12.855,12.5496,14.0325,13.7035,14.4469,12.4139,12.9735,13.26
new_90318_90535,15.1782,15.4092,14.852,12.0095,13.0219,12.0043,13.941,13.3763,15.0232,12.4679,13.0512,13.0996
new_101212_101289,10.2318,11.2388,10.9298,7.7571,8.7724,7.5612,9.8729,9.1387,10.9978,7.5039,8.3124,8.2183
BSU00830,13.576,13.3336,14.0225,12.4414,13.4042,13.4894,13.443,14.907,14.0505,12.9354,13.4626,14.0166
BSU00840,13.2699,13.0005,13.5893,12.1379,13.0715,13.173,13.2109,14.4921,13.7639,12.7881,13.2514,13.754
BSU00850,13.4622,13.3251,13.6992,12.3429,13.2958,13.2882,13.4375,14.5762,13.9024,12.9815,13.5577,13.773
BSU00860,13.5763,13.5618,13.8283,12.6698,13.6456,13.7065,13.5498,14.7813,13.9298,13.3711,13.846,14.1316
BSU00870,11.2538,11.8997,11.9791,10.0806,11.5176,11.2654,11.2749,11.6339,12.2633,10.6812,11.415,11.4781
BSU00880,11.8799,12.5434,12.5292,10.7935,12.0677,11.9184,11.9675,12.5031,12.7485,11.1367,11.8386,11.9497
new_108559_108673,11.8992,12.6783,12.7276,10.8098,12.3842,12.0328,11.9654,12.72,12.9354,11.1538,12.2368,12.2949
BSU00890,12.8967,13.3264,13.3922,11.8706,13.1083,12.7336,12.7914,13.3989,13.661,12.2658,13.0871,12.9376
BSU00900,12.9082,13.1185,13.1776,11.4832,12.4663,11.717,12.6916,12.9359,13.3995,11.9881,12.2905,12.506
BSU00910,11.9655,12.6849,12.441,9.9547,10.8926,10.703,11.9226,11.6798,12.8269,10.315,10.4931,11.287
BSU00920,14.4829,14.0681,14.4695,12.569,13.302,13.1788,14.3129,14.1481,14.8294,12.9583,13.5116,13.8954
new_112499_112799,13.4629,13.8931,14.2002,11.6959,13.2773,12.9797,13.3816,13.2768,14.7244,12.3192,12.7646,13.3833
BSU00930,12.0936,12.373,12.939,10.3431,11.5992,11.3259,12.209,11.8721,13.0986,10.7005,11.3598,11.5694
BSU00940,12.5916,12.7666,13.0768,10.8524,11.7329,11.5162,12.646,12.2101,13.2215,11.1862,11.722,11.8893
BSU00950,12.8075,13.0089,13.2861,10.9471,11.9071,11.6768,12.7419,12.4116,13.2883,11.385,12.0023,12.1124
BSU00960,12.5736,12.8906,13.0458,10.9746,12.075,11.6331,12.5863,12.2611,13.0971,11.3912,12.0841,11.9979
BSU00970,12.7818,13.3186,13.4355,11.043,12.4428,11.9205,12.8168,12.6776,13.4968,11.5571,12.1841,12.2221
BSU00980,14.1273,14.0915,14.411,13.8552,14.9434,14.3548,13.8203,15.1554,14.7046,13.9512,15.036,14.5362
new_117257_117348,13.9651,13.903,14.5674,13.5749,14.7416,13.8544,13.5309,14.9367,14.296,13.8378,14.4931,14.1758
BSU00990,13.856,13.6166,13.7823,13.229,14.2383,13.4894,13.1877,14.2495,14.0022,13.2221,13.9756,13.5539
BSU01000,13.1194,13.109,13.3368,12.207,13.6658,12.8323,12.2075,13.587,13.432,12.3311,13.3417,12.9838
new_117712_117889,12.3502,12.8533,13.0686,10.3884,11.9621,10.8291,11.7106,10.7508,13.1654,10.1654,11.645,10.9853
BSU01010,13.0692,13.392,13.5372,10.692,12.3145,11.209,12.5267,10.9349,13.7503,11.0298,12.2413,11.4432
new_118452_118590,16.4455,16.4413,16.496,14.4567,15.8613,15.0207,16.4235,15.7153,16.4798,14.6046,15.876,15.4477
BSU01020,16.4824,16.4788,16.5122,14.3988,15.7188,14.5021,16.4589,15.8139,16.5008,14.6004,15.656,15.1812
new_119017_119110,15.6983,16.3051,16.0584,13.2439,14.7722,13.4178,15.5261,14.2302,16.2211,13.3924,14.6382,14.2756
BSU01030,16.1564,16.3531,15.9781,13.6359,15.0028,13.7002,15.7619,14.6637,16.3683,13.474,14.8239,14.4571
BSU_misc_RNA_3,16.481,16.5065,16.516,14.235,15.7819,14.6335,16.4609,15.8768,16.4998,14.0262,15.1471,15.0244
BSU01040,16.4822,16.4987,16.5087,11.8311,13.1903,11.7067,16.456,14.8336,16.4984,11.9855,13.2549,12.5172
BSU01050,16.472,16.4382,16.3693,12.1968,13.3788,12.021,16.4184,15.1663,16.4321,12.171,13.3072,12.6957
BSU01060,11.511,14.1856,12.1539,8.1804,9.3911,7.9234,11.2058,9.402,12.1531,8.029,9.2097,8.4131
new_121686_121918,14.2205,15.6626,15.0257,11.9412,14.0908,12.7495,13.6651,13.6187,15.2449,11.9347,13.2708,13.0289
BSU01070,14.5822,15.1621,14.8732,12.5273,13.8235,13.1402,14.6243,14.1661,15.0027,13.2465,13.9943,13.6826
BSU01080,15.0367,15.5399,15.2903,12.972,14.1216,13.4536,15.0091,14.5965,15.3425,13.4996,14.2462,13.8606
new_129162_129283,14.7555,15.8843,15.5824,12.9788,14.2715,13.2265,15.1171,14.3318,15.6151,13.8302,14.4737,14.0989
BSU01090,16.2717,16.4375,16.4828,14.2575,15.4177,14.4934,16.3529,15.1774,16.473,14.584,15.6338,15.193
new_129589_129701,16.1451,16.1263,16.2891,14.265,15.476,14.4608,16.2804,15.1972,16.4415,14.5085,15.5779,15.1579
BSU01100,16.1989,15.9459,16.2675,14.3112,15.4297,14.4444,16.2401,15.17,16.3541,14.5083,15.5061,15.0545
BSU01110,16.486,16.5025,16.5149,15.2635,16.0004,15.2591,16.4686,16.1826,16.5067,15.5267,16.4175,15.9122
BSU01120,16.4469,16.3379,16.4925,14.9324,15.7584,15.0081,16.4434,16.2135,16.4784,15.3596,15.8227,15.6031
new_132763_132881,16.3932,16.4208,16.5038,14.6414,15.895,15.2372,16.3882,16.275,16.4977,15.5825,16.1682,16.1908
BSU01130,16.431,15.9705,16.4193,15.1919,15.8488,15.6009,16.371,16.3375,16.388,15.6514,15.993,15.912
BSU01140,9.9345,10.7963,10.7404,8.6047,9.3376,9.163,9.882,9.7332,11.1224,8.7807,9.421,9.4157
new_135170_135363,16.0787,16.2272,16.131,12.2981,14.345,12.6796,16.134,14.2817,16.375,13.1774,14.2792,13.3263
BSU01150,15.9767,16.4038,16.2593,12.3107,14.063,12.3874,15.9942,14.1376,16.4062,12.7395,14.0684,12.8206
BSU01160,15.8491,15.8438,16.0521,11.875,13.4792,11.5778,15.7859,13.66,16.2863,12.1812,13.6342,12.1751
BSU01170,16.4641,16.4682,16.473,12.2485,13.9455,12.2324,16.4597,14.7818,16.4859,12.6422,14.157,12.6688
BSU01180,16.4234,16.297,16.4802,12.5483,14.1065,12.2776,16.4541,15.0061,16.4011,12.9256,14.0402,12.7614
BSU01190,16.4783,16.4954,16.5112,12.3032,13.8098,11.9326,16.4528,15.0572,16.4948,12.6082,13.8462,12.7043
BSU01200,16.352,16.3636,16.4428,12.0365,13.7939,11.5369,16.2415,14.9941,16.4022,12.199,13.4322,12.152
BSU01210,16.0241,15.8888,16.3051,11.3492,13.3401,11.1075,15.681,14.4407,16.0891,11.5351,12.9328,11.4703
BSU01220,16.1356,16.261,16.1555,11.0379,12.705,10.5927,15.9208,14.4529,16.0821,11.451,12.6717,11.1361
BSU01230,16.0102,15.9226,16.0157,10.9814,12.8549,10.5616,15.821,14.7018,15.9318,11.4033,12.644,11.0759
BSU01240,16.0402,16.4624,15.984,11.0368,12.8803,10.6126,16.048,14.9492,16.2711,11.3864,12.6434,10.977
BSU01250,16.3002,16.4428,16.2735,11.1265,13.0811,10.6351,16.2131,15.3972,16.3134,11.6543,12.945,11.3029
BSU01260,16.2319,15.9507,16.2495,11.1194,12.9766,10.5141,16.2094,15.3185,16.2849,11.3556,12.7595,10.9897
BSU01270,16.2904,15.9562,16.3378,11.1058,12.8096,10.5332,16.1512,15.3757,16.3079,11.2886,12.6423,10.9607
BSU01280,15.715,16.0065,15.9971,10.4702,12.4336,10.28,15.7713,15.2048,16.0739,10.9256,12.246,10.6004
BSU01290,16.1709,16.2727,16.1448,10.8763,12.4911,10.3614,15.9738,15.3554,16.4336,11.3057,12.5109,10.9389
BSU01300,16.1474,16.0782,16.4453,11.0434,12.9497,10.709,16.1532,15.6999,16.4519,11.5152,12.6671,11.3727
BSU01310,15.8378,15.8979,16.2026,10.6366,12.3299,10.4882,15.8289,15.1432,16.2279,11.1711,12.2797,11.0256
BSU01320,15.9144,16.1936,16.3466,10.6971,12.7479,10.573,15.9486,15.5056,16.3438,11.2294,12.2403,11.3022
BSU01330,16.2951,16.3923,16.4141,10.8535,12.4746,10.5898,16.0465,15.4808,16.4595,11.2718,12.33,11.3457
BSU01340,16.3578,16.4527,16.4505,11.5097,12.8882,11.7749,16.2993,15.657,16.4614,12.0415,12.8321,12.4221
