SMMPr_1,SMMPr_2,SMMPr_3,LoTm_1,LoTm_2,LoTm_3,BMM_1,BMM_2,BMM_3,Cold_1,Cold_2,Cold_3
BSU00660,8.9973,8.8856,8.7778,12.2081,12.3177,12.2265,8.4579,8.3436,8.5482,11.0485,10.1272,9.8468
BSU00670,12.5235,12.6376,12.6099,13.3925,13.2363,13.1339,12.6044,12.5294,12.8653,13.5007,12.84,12.373
BSU00680,13.4731,13.55,13.79,14.3756,14.2477,14.4267,14.1385,13.9988,14.1897,14.8055,14.3034,13.9917
new_76887_76983,13.8062,14.0689,14.0775,14.6099,14.6977,14.5502,14.4865,14.2923,14.5686,14.9411,14.3252,14.0213
BSU00690,14.9271,14.9949,15.1402,15.1641,14.8971,15.0463,15.0033,14.9095,15.1093,15.5318,14.8541,14.0341
new_78940_79025,9.4496,9.3871,9.7512,11.0604,10.7619,10.6576,10.5185,10.4103,11.2311,11.919,11.5363,11.1721
new_79027_79091,11.3587,10.5098,10.8507,11.5712,10.6983,11.7167,12.767,12.3307,12.0478,12.0642,11.5197,11.0822
BSU00700,11.3809,11.3031,11.3872,11.7792,11.3507,11.3879,12.3072,12.1808,12.4557,11.9821,11.5479,10.8734
BSU00710,11.2305,11.2908,11.5521,11.3769,10.9809,10.9872,12.1111,11.8398,12.0888,11.7618,11.1515,10.604
BSU00720,11.3925,11.4255,11.4461,11.1089,10.8477,10.7779,12.0338,11.7681,11.9399,10.6772,10.1537,9.863
BSU00730,13.8923,13.8482,13.9903,13.5873,13.1016,13.502,14.0993,13.9176,14.0554,13.1077,12.2466,11.6878
BSU00740,11.3118,11.3094,11.4462,11.3235,11.1067,11.1723,12.0014,11.8106,11.6422,11.2539,10.5975,10.1577
BSU00750,12.4419,12.4518,12.5838,11.9158,11.7704,11.7217,13.234,12.85,12.6423,12.9683,11.963,11.2263
BSU00760,12.084,11.9461,12.1862,11.5269,11.2062,11.3473,12.935,12.5059,12.487,12.5259,11.707,11.2537
BSU00770,11.9792,11.9961,12.0728,11.4679,11.162,11.1841,12.9387,12.5358,12.391,12.3676,11.4508,10.916
BSU00780,12.1732,12.2597,12.5211,11.6892,11.2849,11.3851,13.038,12.6052,12.3933,12.419,11.5328,10.7811
BSU00790,12.2386,12.0888,12.3448,11.7722,11.1993,11.392,13.0819,12.4877,12.6656,12.3985,11.6032,10.9945
BSU00800,12.4798,12.5426,12.4615,12.3571,11.8894,11.9817,13.6134,13.2703,13.1575,13.2205,12.6629,11.6838
BSU00810,13.09,12.9669,13.2781,12.5008,12.114,12.0382,13.9849,13.6468,13.5004,13.6868,12.9611,12.3309
new_88050_89566_c,7.7125,7.7855,7.5328,11.6137,11.3305,11.7001,6.9171,7.0888,7.7142,7.3714,7.8166,7.8409
new_88636_88726,13.2987,13.4055,13.4709,12.4811,12.3026,12.1202,14.1482,13.766,14.1048,13.8911,13.3404,13.0428
BSU00820,13.1428,13.2749,13.4199,12.3152,12.065,11.8609,14.0684,13.7904,13.9654,13.7211,13.2451,12.7829
new_90318_90535,15.0233,15.0945,14.593,14.9965,14.6601,14.5172,16.1597,16.0207,15.8758,15.0529,15.4209,14.6378
new_101212_101289,8.8922,8.8632,8.9416,10.8021,10.0423,10.0924,12.2419,12.3871,12.3551,14.0568,12.0984,11.9742
BSU00830,13.1193,13.4791,13.5313,14.3715,15.027,14.3159,13.362,13.3514,13.4204,14.5785,14.2484,13.422
BSU00840,12.6928,12.9147,12.9212,13.8755,14.3729,13.8007,12.8561,12.7745,12.9559,14.0444,13.7791,13.3357
BSU00850,12.8094,13.0927,13.1989,13.8652,14.1303,13.5363,12.9127,12.6826,12.811,14.0991,13.4778,13.0068
BSU00860,13.2222,13.3853,13.223,13.7782,13.8735,13.7374,12.9569,12.8665,12.8636,13.962,13.2662,12.6177
BSU00870,12.3565,12.6153,12.5996,12.8763,12.3563,12.5147,11.885,11.6808,11.7763,13.1052,12.1993,11.5374
BSU00880,12.6885,12.8172,13.0298,12.8649,12.5496,12.7199,12.2007,12.163,12.5122,13.4798,13.0023,12.5683
new_108559_108673,12.8511,13.0175,13.0733,13.3514,13.2748,13.1506,12.5111,12.332,12.729,13.6471,12.9932,12.4579
BSU00890,13.0758,13.1633,13.357,13.797,13.8345,13.7183,12.9975,12.9108,13.1564,13.5978,13.1059,12.5743
